# Original teaching drafts: text;explicit readings;Chinese definition;English;Japanese
了解;liao3 jie3;知道事情的情况或道理。;understand;理解する
约会;yue1 hui4;约定时间见面。;appointment;会う約束
雪花;xue3 hua1;从云中落下的白色冰晶。;snowflake;雪の結晶
儿童;er2 tong2;年纪小的人。;child;子供
安全;an1 quan2;没有危险。;safe;安全な
寒冷;han2 leng3;温度低，让人觉得冷。;cold;寒い
展览;zhan3 lan3;把物品陈列出来供人观看。;exhibition;展覧会
海岸;hai3 an4;海洋边缘的陆地。;coast;海岸
根本;gen1 ben3;事物最主要、最基础的部分。;foundation;根本
认真;ren4 zhen1;严肃对待，仔细去做。;serious;真剣な
音乐;yin1 yue4;通过有组织的声音表达感情的艺术。;music;音楽
银行;yin2 hang2;办理存款、贷款等业务的机构。;bank;銀行
引导;yin3 dao3;带领别人朝某个方向前进。;guide;導く
印象;yin4 xiang4;事物在头脑中留下的形象或感觉。;impression;印象
温暖;wen1 nuan3;不冷不热，使人舒服。;warm;暖かい
轮船;lun2 chuan2;用动力机械推动的大船。;ship;汽船
准确;zhun3 que4;符合实际或要求，没有差错。;accurate;正確な
讨论;tao3 lun4;交换意见，探讨问题。;discuss;討論する
允许;yun3 xu3;同意别人做某件事。;allow;許す
运动;yun4 dong4;为锻炼身体而进行的活动。;exercise;運動
帮助;bang1 zhu4;替别人出力、解决困难。;help;助ける
绑架;bang3 jia4;用暴力把人劫走并控制起来。;kidnap;誘拐する
棒球;bang4 qiu2;使用球棒击球的一种球类运动。;baseball;野球
电灯;dian4 deng1;用电发光的照明器具。;electric lamp;電灯
能够;neng2 gou4;表示有能力或条件做某事。;be able to;できる
等待;deng3 dai4;不采取行动，等候人或事情到来。;wait;待つ
凳子;deng4 zi0;没有靠背的坐具。;stool;腰掛け
叮嘱;ding1 zhu3;反复告诉别人要注意什么。;urge;念を押す
停止;ting2 zhi3;不再继续进行。;stop;止まる
决定;jue2 ding4;经过考虑后作出选择。;decide;決める
懂得;dong3 de0;知道、理解。;understand;分かる
动物;dong4 wu4;以有机物为食、通常能够自主活动的生物。;animal;動物
爷爷;ye2 ye0;父亲的父亲。;paternal grandfather;父方の祖父
野外;ye3 wai4;离居民区较远的室外地方。;the wild;野外
夜晚;ye4 wan3;天黑以后到天亮以前的时间。;night;夜
冤枉;yuan1 wang0;受到不公正的指责或对待。;be wronged;ぬれぎぬを着せられる
元旦;yuan2 dan4;公历一月一日。;New Year's Day;元日
远方;yuan3 fang1;距离很远的地方。;faraway place;遠方
医院;yi1 yuan4;给病人诊断和治疗的机构。;hospital;病院
英雄;ying1 xiong2;勇敢并作出杰出贡献的人。;hero;英雄
欢迎;huan1 ying2;高兴地迎接别人到来。;welcome;歓迎する
电影;dian4 ying3;用连续画面表现故事等内容的艺术。;movie;映画
坚硬;jian1 ying4;很硬，不容易变形。;hard;硬い
