# AI-assisted pronunciation drafts. key;exact definition text;numbered Hanzi readings (0 neutral). No sandhi substitution for yi/bu. Independent review pending.
qi2;跨坐在动物或车辆上。;kua4 zuo4 zai4 dong4 wu4 huo4 che1 liang4 shang4
qi3;由坐卧到站立；开始。;you2 zuo4 wo4 dao4 zhan4 li4 kai1 shi3
qi4;气体；空气。;qi4 ti3 kong1 qi4
xi1;与东相对的方向。;yu3 dong1 xiang1 dui4 de0 fang1 xiang4
xi2;学习；练习。;xue2 xi2 lian4 xi2
xi3;用水等去掉污垢。;yong4 shui3 deng3 qu4 diao4 wu1 gou4
xi4;与粗相对；精细。;yu3 cu1 xiang1 dui4 jing1 xi4
zhi1;知道；了解。;zhi1 dao4 liao3 jie3
zhi2;不弯曲。;bu4 wan1 qu1
zhi3;用于书写、印刷等的薄片材料。;yong4 yu2 shu1 xie3 yin4 shua1 deng3 de0 bao2 pian4 cai2 liao4
zhi4;到；到达。;dao4 dao4 da2
chi1;把食物送入口中咽下。;ba3 shi2 wu4 song4 ru4 kou3 zhong1 yan4 xia4
chi2;比预定或合适的时间晚。;bi3 yu4 ding4 huo4 he2 shi4 de0 shi2 jian1 wan3
chi3;量长度的工具；长度单位。;liang2 chang2 du4 de0 gong1 ju4 chang2 du4 dan1 wei4
chi4;红色。;hong2 se4
shi1;用凝练、有节奏的语言表达感情的文学作品。;yong4 ning2 lian4 you3 jie2 zou4 de0 yu3 yan2 biao3 da2 gan3 qing2 de0 wen2 xue2 zuo4 pin3
shi2;数目，九加一。;shu4 mu4 jiu3 jia1 yi1
shi3;历史；过去发生的事情。;li4 shi3 guo4 qu4 fa1 sheng1 de0 shi4 qing0
shi4;表示判断或肯定。;biao3 shi4 pan4 duan4 huo4 ken3 ding4
ri4;太阳；一天。;tai4 yang2 yi1 tian1
zi1;财物；供使用的条件。;cai2 wu4 gong1 shi3 yong4 de0 tiao2 jian4
zi3;孩子；后代。;hai2 zi0 hou4 dai4
zi4;记录语言的书写符号。;ji4 lu4 yu3 yan2 de0 shu1 xie3 fu2 hao4
ci1;某些动物中能够产卵或生育的一方。;mou3 xie1 dong4 wu4 zhong1 neng2 gou4 chan3 luan3 huo4 sheng1 yu4 de0 yi1 fang1
ci2;语言中能独立运用的单位。;yu3 yan2 zhong1 neng2 du2 li4 yun4 yong4 de0 dan1 wei4
ci3;这个。;zhe4 ge0
ci4;次数；顺序。;ci4 shu4 shun4 xu4
si1;蚕吐出的细长纤维。;can2 tu3 chu1 de0 xi4 chang2 xian1 wei2
si3;生命结束。;sheng1 ming4 jie2 shu4
si4;数目，三加一。;shu4 mu4 san1 jia1 yi1
yi1;衣服。;yi1 fu0
yi2;改变位置；移动。;gai3 bian4 wei4 zhi4 yi2 dong4
yi3;供人坐的家具，常有靠背。;gong1 ren2 zuo4 de0 jia1 ju4 chang2 you3 kao4 bei4
yi4;意思；心意。;yi4 si0 xin1 yi4
wu1;房屋。;fang2 wu1
wu2;没有。;mei2 you3
wu3;数目，四加一。;shu4 mu4 si4 jia1 yi1
wu4;东西；事物。;dong1 xi0 shi4 wu4
yu1;泥沙沉积或堵塞。;ni2 sha1 chen2 ji1 huo4 du3 se4
yu2;生活在水中、通常用鳃呼吸的动物。;sheng1 huo2 zai4 shui3 zhong1 tong1 chang2 yong4 sai1 hu1 xi1 de0 dong4 wu4
yu3;从云中降落的水滴。;cong2 yun2 zhong1 jiang4 luo4 de0 shui3 di1
yu4;质地坚硬、可雕刻的美丽石头。;zhi4 di4 jian1 ying4 ke3 diao1 ke4 de0 mei3 li4 shi2 tou0
a1;常放在人名或称呼前，表示亲近。;chang2 fang4 zai4 ren2 ming2 huo4 cheng1 hu0 qian2 biao3 shi4 qin1 jin4
o1;表示了解或领会的叹词。;biao3 shi4 liao3 jie3 huo4 ling3 hui4 de0 tan4 ci2
o2;表示疑问或惊讶的叹词。;biao3 shi4 yi2 wen4 huo4 jing1 ya4 de0 tan4 ci2
o4;表示明白、应答等的叹词。;biao3 shi4 ming2 bai0 ying4 da2 deng3 de0 tan4 ci2
e2;一种颈长、常在水边活动的家禽。;yi1 zhong3 jing3 chang2 chang2 zai4 shui3 bian1 huo2 dong4 de0 jia1 qin2
e3;用于恶心，表示想呕吐或令人厌恶。;yong4 yu2 e3 xin0 biao3 shi4 xiang3 ou3 tu4 huo4 ling4 ren2 yan4 wu4
e4;肚子空、想吃东西。;du4 zi0 kong1 xiang3 chi1 dong1 xi0
ai1;悲伤。;bei1 shang1
ai3;与高相对。;yu3 gao1 xiang1 dui4
ai4;喜爱；关心。;xi3 ai4 guan1 xin1
bei1;盛饮料等的器具。;cheng2 yin3 liao4 deng3 de0 qi4 ju4
bei3;与南相对的方向。;yu3 nan2 xiang1 dui4 de0 fang1 xiang4
bei4;有硬壳的软体动物或它的壳。;you3 ying4 ke2 de0 ruan3 ti3 dong4 wu4 huo4 ta1 de0 ke2
gui1;返回；归属。;fan3 hui2 gui1 shu3
gui3;传说中人死后的灵魂。;chuan2 shuo1 zhong1 ren2 si3 hou4 de0 ling2 hun2
gui4;价格高；珍贵。;jia4 ge2 gao1 zhen1 gui4
bao1;包裹东西；装东西的袋子。;bao1 guo3 dong1 xi0 zhuang1 dong1 xi0 de0 dai4 zi0
bao2;从云中降下的冰粒或冰块。;cong2 yun2 zhong1 jiang4 xia4 de0 bing1 li4 huo4 bing1 kuai4
bao3;珍贵的东西。;zhen1 gui4 de0 dong1 xi0
bao4;用手臂围住。;yong4 shou3 bi4 wei2 zhu4
gou1;地面上细长的凹处或水道。;di4 mian4 shang4 xi4 chang2 de0 ao1 chu4 huo4 shui3 dao4
gou3;一种常见家养动物。;yi1 zhong3 chang2 jian4 jia1 yang3 dong4 wu4
gou4;达到所需的数量或程度。;da2 dao4 suo3 xu1 de0 shu4 liang4 huo4 cheng2 du4
liu1;悄悄离开；滑行。;qiao1 qiao1 li2 kai1 hua2 xing2
liu2;液体移动。;ye4 ti3 yi2 dong4
liu3;一种枝条细长的树。;yi1 zhong3 zhi1 tiao2 xi4 chang2 de0 shu4
liu4;数目，五加一。;shu4 mu4 wu3 jia1 yi1
jie1;两旁有房屋的道路。;liang3 pang2 you3 fang2 wu1 de0 dao4 lu4
jie2;节日；段落。;jie2 ri4 duan4 luo4
jie3;分开；解开。;fen1 kai1 jie3 kai1
jie4;暂时使用别人的东西或让别人暂用。;zan4 shi2 shi3 yong4 bie2 ren2 de0 dong1 xi0 huo4 rang4 bie2 ren2 zan4 yong4
yue1;事先商定；约定。;shi4 xian1 shang1 ding4 yue1 ding4
yue4;月亮；计时单位。;yue4 liang0 ji4 shi2 dan1 wei4
er2;小孩；儿子。;xiao3 hai2 er2 zi0
er3;听觉器官。;ting1 jue2 qi4 guan1
er4;数目，一加一。;shu4 mu4 yi1 jia1 yi1
an1;平静；安全。;ping2 jing4 an1 quan2
an4;水边的陆地。;shui3 bian1 de0 lu4 di4
ben1;快跑。;kuai4 pao3
ben3;书籍的量词；根本。;shu1 ji2 de0 liang4 ci2 gen1 ben3
ben4;不灵巧；理解慢。;bu4 ling2 qiao3 li3 jie3 man4
yin1;声音。;sheng1 yin1
yin2;一种银白色金属。;yi1 zhong3 yin2 bai2 se4 jin1 shu3
yin3;领着走；引导。;ling3 zhe0 zou3 yin3 dao3
yin4;印章；留下痕迹。;yin4 zhang1 liu2 xia4 hen2 ji4
lun2;轮子，能绕轴转动的圆形物体。;lun2 zi0 neng2 rao4 zhou2 zhuan4 dong4 de0 yuan2 xing2 wu4 ti3
lun4;讨论；说明道理。;tao3 lun4 shuo1 ming2 dao4 li0
yun1;头脑昏沉，感到周围旋转。;tou2 nao3 hun1 chen2 gan3 dao4 zhou1 wei2 xuan2 zhuan3
yun2;空中由小水滴或冰晶组成的物体。;kong1 zhong1 you2 xiao3 shui3 di1 huo4 bing1 jing1 zu3 cheng2 de0 wu4 ti3
yun3;允许；答应。;yun3 xu3 da1 ying0
yun4;移动；运输。;yi2 dong4 yun4 shu1
bang1;帮助。;bang1 zhu4
bang3;用绳子等缠绕、捆住。;yong4 sheng2 zi0 deng3 chan2 rao4 kun3 zhu4
bang4;棍子；也表示很好。;gun4 zi0 ye3 biao3 shi4 hen3 hao3
deng1;照明的器具。;zhao4 ming2 de0 qi4 ju4
deng3;等待；相同。;deng3 dai4 xiang1 tong2
deng4;没有靠背的坐具。;mei2 you3 kao4 bei4 de0 zuo4 ju4
ding1;成年男子；也用于姓氏。;cheng2 nian2 nan2 zi3 ye3 yong4 yu2 xing4 shi4
ding3;最上面的部分。;zui4 shang4 mian4 de0 bu4 fen0
ding4;确定；固定。;que4 ding4 gu4 ding4
dong1;一年四季中的冬季。;yi1 nian2 si4 ji4 zhong1 de0 dong1 ji4
dong3;明白；了解。;ming2 bai0 liao3 jie3
dong4;改变原来的位置或状态。;gai3 bian4 yuan2 lai2 de0 wei4 zhi4 huo4 zhuang4 tai4
ye1;椰子，一种生长在热带的植物及其果实。;ye1 zi0 yi1 zhong3 sheng1 zhang3 zai4 re4 dai4 de0 zhi2 wu4 ji2 qi2 guo3 shi2
ye2;祖父的称呼。;zu3 fu4 de0 cheng1 hu0
ye3;郊外；未经驯养的。;jiao1 wai4 wei4 jing1 xun4 yang3 de0
ye4;天黑到天亮的一段时间。;tian1 hei1 dao4 tian1 liang4 de0 yi1 duan4 shi2 jian1
yuan1;受到不公平的对待。;shou4 dao4 bu4 gong1 ping2 de0 dui4 dai4
yuan2;货币单位；开始。;huo4 bi4 dan1 wei4 kai1 shi3
yuan3;距离长，与近相对。;ju4 li2 chang2 yu3 jin4 xiang1 dui4
yuan4;院子；某些机构的名称。;yuan4 zi0 mou3 xie1 ji1 gou4 de0 ming2 cheng1
ying1;杰出；也用于英雄。;jie2 chu1 ye3 yong4 yu2 ying1 xiong2
ying2;朝着来的人或事物过去接待。;chao2 zhe0 lai2 de0 ren2 huo4 shi4 wu4 guo4 qu4 jie1 dai4
ying3;光被挡住后形成的暗处。;guang1 bei4 dang3 zhu4 hou4 xing2 cheng2 de0 an4 chu4
ying4;与软相对。;yu3 ruan3 xiang1 dui4
word:波浪;水面起伏形成的波。;shui3 mian4 qi3 fu2 xing2 cheng2 de0 bo1
word:播放;通过设备放出声音或影像。;tong1 guo4 she4 bei4 fang4 chu1 sheng1 yin1 huo4 ying3 xiang4
word:爸爸;对父亲的称呼。;dui4 fu4 qin1 de0 cheng1 hu0
word:婆婆;丈夫的母亲；也可称年长的妇女。;zhang4 fu0 de0 mu3 qin1 ye3 ke3 cheng1 nian2 zhang3 de0 fu4 nv3
word:破坏;使事物损坏或受到损害。;shi3 shi4 wu4 sun3 huai4 huo4 shou4 dao4 sun3 hai4
word:苹果;一种常见水果，通常呈圆形。;yi1 zhong3 chang2 jian4 shui3 guo3 tong1 chang2 cheng2 yuan2 xing2
word:害怕;因危险或困难而感到恐惧。;yin1 wei1 xian3 huo4 kun4 nan2 er2 gan3 dao4 kong3 ju4
word:妈妈;对母亲的称呼。;dui4 mu3 qin1 de0 cheng1 hu0
word:麻木;身体某部分失去感觉；也指反应迟钝。;shen1 ti3 mou3 bu4 fen0 shi1 qu4 gan3 jue2 ye3 zhi3 fan3 ying4 chi2 dun4
word:马车;由马拉着行驶的车辆。;you2 ma3 la1 zhe0 xing2 shi3 de0 che1 liang4
word:蘑菇;一类常有菌盖和菌柄的真菌。;yi1 lei4 chang2 you3 jun1 gai4 he2 jun1 bing3 de0 zhen1 jun1
word:抹布;用来擦拭器物的布。;yong4 lai2 ca1 shi4 qi4 wu4 de0 bu4
word:佛教;起源于古印度、由释迦牟尼创立的宗教。;qi3 yuan2 yu2 gu3 yin4 du4 you2 shi4 jia1 mou2 ni2 chuang4 li4 de0 zong1 jiao4
word:办法;处理事情或解决问题的方法。;chu3 li3 shi4 qing0 huo4 jie3 jue2 wen4 ti2 de0 fang1 fa3
word:罚款;因违反规定而被要求缴纳的钱。;yin1 wei2 fan3 gui1 ding4 er2 bei4 yao1 qiu2 jiao3 na4 de0 qian2
word:地图;按一定比例表示地理事物的图。;an4 yi1 ding4 bi3 li4 biao3 shi4 di4 li3 shi4 wu4 de0 tu2
word:冬天;一年四季中通常最寒冷的季节。;yi1 nian2 si4 ji4 zhong1 tong1 chang2 zui4 han2 leng3 de0 ji4 jie2
word:老师;教学生知识和技能的人。;jiao1 xue2 sheng0 zhi1 shi0 he2 ji4 neng2 de0 ren2
word:花朵;植物的花。;zhi2 wu4 de0 hua1
word:天空;地面以上的广阔空间。;di4 mian4 yi3 shang4 de0 guang3 kuo4 kong1 jian1
word:兔子;耳朵长、善于跳跃的小动物。;er3 duo0 chang2 shan4 yu2 tiao4 yue4 de0 xiao3 dong4 wu4
word:太阳;给地球带来光和热的恒星。;gei3 di4 qiu2 dai4 lai2 guang1 he2 re4 de0 heng2 xing1
word:奶奶;父亲的母亲。;fu4 qin1 de0 mu3 qin1
word:牛奶;牛产的奶。;niu2 chan3 de0 nai3
word:哥哥;同辈中比自己年长的男子。;tong2 bei4 zhong1 bi3 zi4 ji3 nian2 zhang3 de0 nan2 zi3
word:快乐;感到高兴和愉快。;gan3 dao4 gao1 xing4 he2 yu2 kuai4
word:姐姐;同辈中比自己年长的女子。;tong2 bei4 zhong1 bi3 zi4 ji3 nian2 zhang3 de0 nü3 zi3
word:气球;充入气体后鼓起来的球。;chong1 ru4 qi4 ti3 hou4 gu3 qi3 lai2 de0 qiu2
word:西瓜;一种夏天常见、果肉多汁的水果。;yi4 zhong3 xia4 tian1 chang2 jian4 guo3 rou4 duo1 zhi1 de0 shui3 guo3
word:蜘蛛;有八条腿、常能结网的小动物。;you3 ba1 tiao2 tui3 chang2 neng2 jie2 wang3 de0 xiao3 dong4 wu4
word:春天;冬天之后、夏天之前的季节。;dong1 tian1 zhi1 hou4 xia4 tian1 zhi1 qian2 de0 ji4 jie2
word:狮子;一种体型大、以肉为食的猫科动物。;yi4 zhong3 ti3 xing2 da4 yi3 rou4 wei2 shi2 de0 mao1 ke1 dong4 wu4
word:人民;社会成员的总称。;she4 hui4 cheng2 yuan2 de0 zong3 cheng1
word:容易;做起来不困难。;zuo4 qi3 lai2 bu4 kun4 nan2
word:草地;长着草的地面。;zhang3 zhe0 cao3 de0 di4 mian4
word:森林;大片生长着树木的地方。;da4 pian4 sheng1 zhang3 zhe0 shu4 mu4 de0 di4 fang0
word:衣服;穿在身上的衣物。;chuan1 zai4 shen1 shang4 de0 yi1 wu4
word:我们;说话人和与自己有关的一些人。;shuo1 hua4 ren2 he2 yu3 zi4 ji3 you3 guan1 de0 yi4 xie1 ren2
word:月亮;围绕地球运行的天然卫星。;wei2 rao4 di4 qiu2 yun4 xing2 de0 tian1 ran2 wei4 xing1
word:耳朵;听声音的器官。;ting1 sheng1 yin1 de0 qi4 guan1
word:飞机;依靠动力在空中飞行的交通工具。;yi1 kao4 dong4 li4 zai4 kong1 zhong1 fei1 xing2 de0 jiao1 tong1 gong1 ju4
word:朋友;彼此有交情的人。;bi3 ci3 you3 jiao1 qing0 de0 ren2
word:礼物;为了表达心意而送给别人的东西。;wei4 le0 biao3 da2 xin1 yi4 er2 song4 gei3 bie2 ren2 de0 dong1 xi0
# Tone coverage additions: machine-assisted drafts, independent review pending.
cong1;急促，匆忙。;ji2 cu4 cong1 mang2
word:帽子;戴在头上保暖或遮阳的用品。;dai4 zai4 tou2 shang4 bao3 nuan3 huo4 zhe1 yang2 de0 yong4 pin3
word:垃圾;被丢弃的废物。;bei4 diu1 qi4 de0 fei4 wu4
word:居住;在某个地方生活。;zai4 mou3 ge4 di4 fang0 sheng1 huo2
word:军队;国家组织的武装力量。;guo2 jia1 zu3 zhi1 de0 wu3 zhuang1 li4 liang4
word:子孙;儿子、孙子以及以后的后代。;er2 zi0 sun1 zi0 yi3 ji2 yi3 hou4 de0 hou4 dai4
word:午饭;中午吃的一顿饭。;zhong1 wu3 chi1 de0 yi1 dun4 fan4
pao3;两脚交替向前快速移动。;liang3 jiao3 jiao1 ti4 xiang4 qian2 kuai4 su4 yi2 dong4
nie1;用手指夹住或按压。;yong4 shou3 zhi3 jia1 zhu4 huo4 an4 ya1
tai2;把手或物体向上举。;ba3 shou3 huo4 wu4 ti3 xiang4 shang4 ju3
huo3;物体燃烧时发出的光和热。;wu4 ti3 ran2 shao1 shi2 fa1 chu1 de0 guang1 he2 re4
ren2;能使用语言和工具进行劳动的高等动物。;neng2 shi3 yong4 yu3 yan2 he2 gong1 ju4 jin4 xing2 lao2 dong4 de0 gao1 deng3 dong4 wu4
ren3;克制感情或承受痛苦。;ke4 zhi4 gan3 qing2 huo4 cheng2 shou4 tong4 ku3
xue2;通过练习或研究获得知识和技能。;tong1 guo4 lian4 xi2 huo4 yan2 jiu1 huo4 de2 zhi1 shi2 he2 ji4 neng2
xue3;从云中落下的白色冰晶。;cong2 yun2 zhong1 la4 xia4 de0 bai2 se4 bing1 jing1
xue1;靴子，筒部较高的鞋。;xue1 zi0 tong3 bu4 jiao4 gao1 de0 xie2
tun1;使食物等从口中进入肚子。;shi3 shi2 wu4 deng3 cong2 kou3 zhong1 jin4 ru4 du3 zi0
zhun3;准确，符合要求。;zhun3 que4 fu2 he2 yao1 qiu2
ren4;辨别，记住。;bian4 bie2 ji4 zhu4
neng2;有能力或条件做某事。;you3 neng2 li4 huo4 tiao2 jian4 zuo4 mou3 shi4
hong2;像鲜血一样的颜色。;xiang4 xian1 xue4 yi1 yang4 de0 yan2 se4
nan2;早晨面对太阳时右手的一方。;zao3 chen2 mian4 dui4 tai4 yang2 shi2 you4 shou3 de0 yi1 fang1
san3;遮雨或遮阳的用具。;zhe1 yu3 huo4 zhe1 yang2 de0 yong4 ju4
chang2;两点之间的距离大。;liang3 dian3 zhi1 jian1 de0 ju4 li2 da4
hui2;返回原来的地方。;fan3 hui2 yuan2 lai2 de0 di4 fang1
fei2;脂肪多，也指肥料。;zhi1 fang2 duo1 ye3 zhi3 fei2 liao4
lou2;两层或两层以上的房屋。;liang3 ceng2 huo4 liang3 ceng2 yi3 shang4 de0 fang2 wu1
po1;倾斜的地面。;qing1 xie2 de0 di4 mian4
po2;年长的妇女。;nian2 zhang3 de0 fu4 nü3
po4;完整的东西出现损伤。;wan2 zheng3 de0 dong1 xi1 chu1 xian4 sun3 shang1
ai2;由恶性肿瘤引起的疾病。;you2 e4 xing4 zhong3 liu2 yin3 qi3 de0 ji2 bing4
word:批评;指出缺点或错误。;zhi3 chu1 que1 dian3 huo4 cuo4 wu4
word:提拔;选拔人才并提升职位。;xuan3 ba2 ren2 cai2 bing4 ti2 sheng1 zhi2 wei4
word:理发;修剪和整理头发。;xiu1 jian3 he2 zheng3 li3 tou2 fa4
word:搭配;把合适的事物组合在一起。;ba3 he2 shi4 de0 shi4 wu4 zu3 he2 zai4 yi4 qi3
word:打扫;清除垃圾、灰尘等，使地方干净。;qing1 chu2 la1 ji1 hui1 chen2 deng3 shi3 di4 fang1 gan1 jing4
word:谈话;互相交谈。;hu4 xiang1 jiao1 tan2
word:捏造;编造本来没有的事情。;bian1 zao4 ben3 lai2 mei2 you3 de0 shi4 qing2
word:来往;互相交往或来回走动。;hu4 xiang1 jiao1 wang3 huo4 lai2 hui2 zou3 dong4
word:格式;规定的式样。;gui1 ding4 de0 shi4 yang4
word:河流;沿地表一定水道流动的水。;yan2 di4 biao3 yi2 ding4 shui3 dao4 liu2 dong4 de0 shui3
word:美好;美丽而令人满意。;mei3 li4 er2 ling4 ren2 man3 yi4
word:记得;没有忘记。;mei2 you3 wang4 ji4
word:洗澡;用水清洗身体。;yong4 shui3 qing1 xi3 shen1 ti3
word:好吃;味道好。;wei4 dao4 hao3
word:词典;收集词语并解释意义或用法的工具书。;shou1 ji2 ci2 yu3 bing4 jie3 shi4 yi4 yi4 huo4 yong4 fa3 de0 gong1 ju4 shu1
word:彼此;对方和自己。;dui4 fang1 he2 zi4 ji3
word:刺激;引起感觉或反应。;yin3 qi3 gan3 jue2 huo4 fan3 ying4
word:丝毫;极小的一点。;ji2 xiao3 de0 yi4 dian3
word:匆忙;急急忙忙的样子。;ji2 ji2 mang2 mang2 de0 yang4 zi0
word:雨伞;遮雨的伞。;zhe1 yu3 de0 san3
word:额外;超出规定数量或范围的。;chao1 chu1 gui1 ding4 shu4 liang4 huo4 fan4 wei2 de0
word:回来;从别处回到这里。;cong2 bie2 chu4 hui2 dao4 zhe4 li3
word:雹子;从云中落下的冰粒或冰块。;cong2 yun2 zhong1 la4 xia4 de0 bing1 li4 huo4 bing1 kuai4
word:不够;没有达到需要的数量或程度。;mei2 you3 da2 dao4 xu1 yao4 de0 shu4 liang4 huo4 cheng2 du4
word:纠正;把错误改正。;ba3 cuo4 wu4 gai3 zheng4
word:扭转;改变方向或局面。;gai3 bian4 fang1 xiang4 huo4 ju2 mian4
word:锦绣;精美鲜艳的丝织品，也形容美好。;jing1 mei3 xian1 yan4 de0 si1 zhi1 pin3 ye3 xing2 rong2 mei3 hao3
word:借口;为达到某种目的而提出的理由。;wei4 da2 dao4 mou3 zhong3 mu4 di4 er2 ti2 chu1 de0 li3 you2
word:二氧化碳;一种无色无味的气体。;yi1 zhong3 wu2 se4 wu2 wei4 de0 qi4 ti3
word:云彩;天空中的云。;tian1 kong1 zhong1 de0 yun2
word:长期;很长的一段时间。;hen3 zhang3 de0 yi1 duan4 shi2 jian1
word:顶点;最高的点或程度。;zui4 gao1 de0 dian3 huo4 cheng2 du4
word:红旗;红色的旗帜。;hong2 se4 de0 qi2 zhi4
word:靴子;筒部较高的鞋。;tong3 bu4 jiao4 gao1 de0 xie2
word:阿姨;对与母亲同辈女性的称呼。;dui4 yu3 mu3 qin1 tong2 bei4 nü3 xing4 de0 cheng1 hu1
word:把手;器物上便于用手握住的部分。;qi4 wu4 shang4 bian4 yu2 yong4 shou3 wo4 zhu4 de0 bu4 fen4
word:跑步;两脚交替向前快速移动。;liang3 jiao3 jiao1 ti4 xiang4 qian2 kuai4 su4 yi2 dong4
word:发票;购买商品或接受服务时开具的凭证。;gou4 mai3 shang1 pin3 huo4 jie1 shou4 fu2 wu4 shi2 kai1 ju4 de0 ping2 zheng4
word:法律;由国家制定或认可的行为规则。;you2 guo2 jia1 zhi4 ding4 huo4 ren4 ke3 de0 xing2 wei2 gui1 ze2
word:达到;到达某个位置、程度或目标。;dao4 da2 mou3 ge4 wei4 zhi4 cheng2 du4 huo4 mu4 biao1
word:南方;南边的地区。;nan2 bian1 de0 di4 qu1
word:那边;离说话人较远的地方。;li2 shuo1 hua4 ren2 jiao4 yuan3 de0 di4 fang1
word:辣椒;果实常有辣味的一种植物，也指它的果实。;guo3 shi2 chang2 you3 la4 wei4 de0 yi1 zhong3 zhi2 wu4 ye3 zhi3 ta1 de0 guo3 shi2
word:水果;可以食用的多汁植物果实。;ke3 yi3 shi2 yong4 de0 duo1 zhi1 zhi2 wu4 guo3 shi2
word:告诉;把事情说给别人听。;ba3 shi4 qing2 shuo1 gei3 bie2 ren2 ting1
word:科学;研究自然、社会等规律的知识体系。;yan2 jiu1 zi4 ran2 she4 hui4 deng3 gui1 lü4 de0 zhi1 shi2 ti3 xi4
word:咳嗽;呼吸道受刺激时用力呼气发声。;hu1 xi1 dao4 shou4 ci4 ji1 shi2 yong4 li4 hu1 qi4 fa1 sheng1
word:可以;表示可能或许可。;biao3 shi4 ke3 neng2 huo4 xu3 ke3
word:课本;上课学习使用的书。;shang4 ke4 xue2 xi2 shi3 yong4 de0 shu1
word:祝贺;对别人的喜事表示庆祝。;dui4 bie2 ren2 de0 xi3 shi4 biao3 shi4 qing4 zhu4
word:鸡蛋;母鸡产的卵。;mu3 ji1 chan3 de0 luan3
word:急忙;心里着急，行动很快。;xin1 li3 zhao2 ji2 xing2 dong4 hen3 kuai4
word:起来;从低处或躺坐的姿势起身。;cong2 di1 chu4 huo4 tang3 zuo4 de0 zi1 shi4 qi3 shen1
