executionId,caseId,platform,layer,status,coverage,buildSha256,executedAt,device,scope,evidence
A-20260919-006,HM-A004,Android,platform,PASS,full,35e184a1c4d3b85e494ae08f1ee39ead61f440c5dcb4d1e823cb8ca7de255434,2026-09-19,pixel_7_-_api_36_0 emulator-5554 API36 x86_64,默认试听完成；ABC明确拒绝；重入后长数字可重新试听,tracking/evidence/STAGE-A-20260919.md
A-20260919-007,HM-A005,Android,platform,PASS,full,35e184a1c4d3b85e494ae08f1ee39ead61f440c5dcb4d1e823cb8ca7de255434,2026-09-19,pixel_7_-_api_36_0 emulator-5554 API36 x86_64,停用保留下载；再启用067；未重下模型,tracking/evidence/STAGE-A-20260919.md
A-20260919-008,HM-A006,Android,platform,PASS,full,35e184a1c4d3b85e494ae08f1ee39ead61f440c5dcb4d1e823cb8ca7de255434,2026-09-19,pixel_7_-_api_36_0 emulator-5554 API36 x86_64,更新版：飞行模式enabled/wifi0下个人工程课文全文完成；恢复网络0/1/1,tracking/evidence/STAGE-A-20260919.md
A-20260919-009,HM-A008,Android,platform,PASS,full,35e184a1c4d3b85e494ae08f1ee39ead61f440c5dcb4d1e823cb8ca7de255434,2026-09-19,pixel_7_-_api_36_0 emulator-5554 API36 x86_64,覆盖更新；067/模型保持；原11课文与150%字号仍在,tracking/evidence/STAGE-A-20260919.md
A-20260919-010,HM-A007,Android,platform,PASS,partial,35e184a1c4d3b85e494ae08f1ee39ead61f440c5dcb4d1e823cb8ca7de255434,2026-09-19,pixel_7_-_api_36_0 API36,长数字试听切后台再返回已停止；重播/手动停止通过；切学习页可操作；未运行20分钟UI播放,tracking/evidence/STAGE-A-20260919.md
A-20260919-011,HM-A009,Android,platform,PASS,partial,35e184a1c4d3b85e494ae08f1ee39ead61f440c5dcb4d1e823cb8ca7de255434,2026-09-19,pixel_7_-_api_36_0 API36,m例词页妈妈有拼音；点按无错误；长按共用ReadingPage显示释义；不包含人工音质审核,tracking/evidence/STAGE-A-20260919.md
A-20260919-012,HM-T014,Android,platform,PASS,partial,35e184a1c4d3b85e494ae08f1ee39ead61f440c5dcb4d1e823cb8ca7de255434,2026-09-19,pixel_7_-_api_36_0 API36,仅b/p/m/f实际点按无错误及bo/po/mo/fo绑定核查；完整63项听审未执行,tracking/evidence/STAGE-A-20260919.md
A-20260919-013,HM-T019,Android,platform,PASS,partial,35e184a1c4d3b85e494ae08f1ee39ead61f440c5dcb4d1e823cb8ca7de255434,2026-09-19,pixel_7_-_api_36_0 API36,截图验证m例词局部m红色下划线；其他拼音范围未全量验收,tracking/evidence/STAGE-A-20260919.md
A-20260919-014,HM-A009,Windows,platform,BLOCKED,none,137b038c684c660ec173e3d4faac46564b74071dba3190b0572217c2424bf5c0,2026-09-19,Windows10.0.26220 computer-use,显式启动HanMate被工具误识别为OneDrive；刷新无HanMate可操作窗口,tracking/evidence/STAGE-A-20260919.md
A-20260919-015,HM-T014,iOS,platform,NOT RUN,none,,2026-09-19,Unavailable,用户暂缓；没有Mac/Xcode/iOS设备,tracking/evidence/STAGE-A-20260919.md
B-20260919-001,HM-A010,Shared,integration,PASS,full,50460f085a3bb73d1056b64fd9ed5eec7595e9fdb5d4082cc74a30e4bcc7fec1,2026-09-19,Windows host / TEMP SQLite,实际完整恢复回滚及拒绝/损坏/取消/WAL/版本保护；不等同设备UI,tracking/evidence/STAGE-B-20260919.md
B-20260919-002,HM-A011,Shared,integration,PASS,full,50460f085a3bb73d1056b64fd9ed5eec7595e9fdb5d4082cc74a30e4bcc7fec1,2026-09-19,Windows host / TEMP SQLite + WAV,7天保护与显式删除；计划后与两阶段事务间新增引用均复查；中断重试,tracking/evidence/STAGE-B-20260919.md
B-20260919-003,HM-A012,Shared,integration,PASS,full,50460f085a3bb73d1056b64fd9ed5eec7595e9fdb5d4082cc74a30e4bcc7fec1,2026-09-19,Windows host / TEMP safety directories,保留最近3份/唯一完整副本；损坏与不兼容副本保留；重复操作安全,tracking/evidence/STAGE-B-20260919.md
B-20260919-004,HM-A013,Windows,integration,PASS,full,50460f085a3bb73d1056b64fd9ed5eec7595e9fdb5d4082cc74a30e4bcc7fec1,2026-09-19,Windows host / isolated child processes,7个场景：6次进程强杀及真实SQLite SQLITE_FULL；不是设备卷满盘,tracking/evidence/STAGE-B-20260919.md
B-20260919-005,HM-A014,Android,platform,PASS,partial,d640812199bf198d3f4415cc6cf3a0566af20d06e14edb1c39fcefa7d1ae4342,2026-09-19,pixel_7_-_api_36_0 API36 x86_64,最终APK列表空状态/整理预览取消/草稿保护；中文11课文150%及模型067保持；非完整副本列表/恢复验收,tracking/evidence/STAGE-B-20260919.md
B-20260919-006,HM-A014,Windows,platform,BLOCKED,none,,2026-09-19,Windows UI tool unavailable,延续已知窗口归属错误；本轮未把构建当UI通过,tracking/evidence/STAGE-B-20260919.md
B-20260919-007,HM-A015,Android,platform,NOT RUN,none,d640812199bf198d3f4415cc6cf3a0566af20d06e14edb1c39fcefa7d1ae4342,2026-09-19,pixel_7_-_api_36_0 API36 x86_64,真实资料不做破坏性恢复或删除；尚无独立设备可丢弃配置端到端证据,tracking/evidence/STAGE-B-20260919.md
B-20260919-008,HM-A015,Windows,platform,NOT RUN,none,,2026-09-19,Windows UI tool unavailable,设备UI恢复/删除端到端未执行；宿主隔离SQLite与文件测试另列,tracking/evidence/STAGE-B-20260919.md
B-20260919-009,HM-A015,iOS,platform,NOT RUN,none,,2026-09-19,Unavailable,用户暂缓；无Mac/Xcode/iOS设备,tracking/evidence/STAGE-B-20260919.md
C-20260919-001,HM-C001,Shared,integration,PASS,full,f18932542af85abec9d18e5e807cc5bcd86f3e79b5baeab3fbda05e4109784ca,2026-09-19,Windows .NET10 / Python,旧版实际包与176个受影响Infrastructure用例，复杂数据保护仅隔离夹具,tracking/evidence/STAGE-C-20260919.md
C-20260919-002,HM-C002,Shared,integration,PASS,full,f18932542af85abec9d18e5e807cc5bcd86f3e79b5baeab3fbda05e4109784ca,2026-09-19,Windows .NET10 / Python,6个Python审核测试、15个Core课程正文校验；不冒充人工审签,tracking/evidence/STAGE-C-20260919.md
C-20260919-003,HM-C003,Android,platform,PASS,full,739424875999c8e1d6b1f16185148e188ec1faf2ffa26fb6a6d1b40ab6c9608e,2026-09-19,API36 emulator-5554,"Non-destructive upgrade, new definition ruby, bundled dictionary 1.0.1, external dictionary priority, Chinese/150%/enabled AI067 preserved",tracking/evidence/STAGE-C-20260919.md
C-20260919-004,HM-C004,Shared,integration,BLOCKED,partial,f18932542af85abec9d18e5e807cc5bcd86f3e79b5baeab3fbda05e4109784ca,2026-09-19,Windows .NET10 / Python,审核材料完成，正式中文/日英/逐音色签审及许可版本/ong/180释义注音仍待办,tracking/evidence/STAGE-C-20260919.md
D1-20260919-001,HM-D001,Shared,integration,PASS,full,f18932542af85abec9d18e5e807cc5bcd86f3e79b5baeab3fbda05e4109784ca,2026-09-19,Windows .NET10 / Python,课程/审核自动检查；没有人工听审签字,tracking/evidence/STAGE-C2-D1-20260919.md
D1-20260919-002,HM-D002,Android,platform,PASS,full,7f5c5609a92810eb4a49b4932bd66042e31f4f9ed0e0856872412f62a07c265c,2026-09-19,API36 emulator-5554,最终三语言/三字号/显隐/窗口重建三轮；先前两次FAIL已修复；只计最终结果,tracking/evidence/STAGE-C2-D1-20260919.md
D1-20260919-003,HM-D003,Shared,integration,PASS,full,f18932542af85abec9d18e5e807cc5bcd86f3e79b5baeab3fbda05e4109784ca,2026-09-19,Windows .NET10 / Python,180内容两跳和重复导入；真实隔离SQLite备份，不扩展为平台迁移,tracking/evidence/STAGE-C2-D1-20260919.md
D1-20260919-004,HM-T001,Android,platform,PASS,partial,7f5c5609a92810eb4a49b4932bd66042e31f4f9ed0e0856872412f62a07c265c,2026-09-19,API36 emulator-5554,三语言导航/阅读/例词与窗口重建已验；未涵盖全部已打开页面及新弹窗,tracking/evidence/STAGE-C2-D1-20260919.md
D2-20260919-001,HM-D004,Android,platform,PASS,full,4eebafe84d19b636b4c5a7ffeb5d32b42e6874fbda96d8cbb084378df4f6efcc,2026-09-19,API36 emulator-5554,最终APK无效提示/失败重试/重复合并/另存取消重试/ZIP/分享打开返回；不含外发,tracking/evidence/STAGE-D2-20260919.md
D2-20260919-002,HM-D005,Shared,integration,PASS,full,41f6f581bc6cfbf98f1497526c8139517bfda2084577da5e79d4b6a66710f965,2026-09-19,Windows .NET10 host and Android API36,宿主生成到Android实际合并再系统另存至新宿主库；5内容5音轨；不是Windows UI,tracking/evidence/STAGE-D2-20260919.md
D2-20260919-003,HM-D006,Shared,integration,PASS,full,84f344c074e773ce23f375fea3f821eb63a962bcf7a32f349ecdaa12cf267604,2026-09-19,Windows Python private TEMP,118原内容/3夹8收藏/30音轨26默认/资源设置保持；6种变更负例拒绝,tracking/evidence/STAGE-D2-20260919.md
D2-20260919-004,HM-D007,Android,platform,PASS,full,4eebafe84d19b636b4c5a7ffeb5d32b42e6874fbda96d8cbb084378df4f6efcc,2026-09-19,API36 emulator-5554,内容包另存及导出失败后分享拒旧文件；重新确认后成功；分享面板取消,tracking/evidence/STAGE-D2-20260919.md
D2-20260919-005,HM-D008,Shared,integration,PASS,full,41f6f581bc6cfbf98f1497526c8139517bfda2084577da5e79d4b6a66710f965,2026-09-19,Windows .NET10 production services,Android另存包严格导入新宿主库；仅1内容0音轨/无私人状态/再次导入复用,tracking/evidence/STAGE-D2-20260919.md
D4-20260919-001,HM-D013,Android,platform,PASS,full,64c46e7791f084faeebf1d8944cf82b3d8ae47e859168c448c99dd613bbd67ab,2026-09-19,API36 emulator-5554,最终包中日英200%导航和计数；英语展开滚动/无匹配/清除；恢复100%点击区56dp,tracking/evidence/STAGE-D4-20260919.md
D4-20260919-002,HM-D014,Windows,platform,PASS,full,3fab2b3d39f86d214c17a1f88d0c7f2700d31d070288306348a6e86b12445fdd,2026-09-19,Windows native HanMate PID41660,右键b例词及波浪整行右键/F10释义；Enter焦点；无音质与触摸长按结论,tracking/evidence/STAGE-D4-20260919.md
D4-20260919-003,HM-D015,Windows,platform,PASS,full,3fab2b3d39f86d214c17a1f88d0c7f2700d31d070288306348a6e86b12445fdd,2026-09-19,Windows native HanMate PID41660,下载确认取消重试；31.2MiB完成；试听完成；启停及未知字符拒绝；模型保留AI关闭,tracking/evidence/STAGE-D4-20260919.md
D4-20260919-004,HM-D016,Windows,platform,PASS,full,3fab2b3d39f86d214c17a1f88d0c7f2700d31d070288306348a6e86b12445fdd,2026-09-19,Windows native HanMate PID41660,原生Open取消反馈；重选旧D3文件Add0/reuse3预览后取消；不合并替换,tracking/evidence/STAGE-D4-20260919.md
D4-20260919-005,HM-D017,Android,platform,FAIL,full,64c46e7791f084faeebf1d8944cf82b3d8ae47e859168c448c99dd613bbd67ab,2026-09-19,API36 emulator-5554,系统200%英语设置多个长按钮截字；最终截图；D5待修,tracking/evidence/STAGE-D4-20260919.md
D4-20260919-006,HM-D018,Android,platform,FAIL,partial,64c46e7791f084faeebf1d8944cf82b3d8ae47e859168c448c99dd613bbd67ab,2026-09-19,API36 emulator-5554,语言切换返回搜索后标题更新而管理/提示/分页旧语言残留；D5待修,tracking/evidence/STAGE-D4-20260919.md
HW-20260919-001,HM-HW001,Shared,unit,PASS,full,b07d3dbc718926dd720b0342adb05eaf440b24643a764c5d32b8e077f6936965,2026-09-19,Windows .NET10,8独立识别测试；9574模板；非任意笔迹准确率,tracking/evidence/HANDWRITING-20260919.md
HW-20260919-002,HM-HW002,Android,platform,PASS,full,383c0d100045c517f9e6b0f614acb57569be065228a0aceff801e3d81bd16c8d,2026-09-19,API36 emulator-5554,最终APK逐笔十及例词麻木释义；返回撤销清空；一缺词页；备用去重,tracking/evidence/HANDWRITING-20260919.md
HW-20260919-003,HM-HW003,Android,platform,PASS,full,bc12ca52858b358c15f0928d93c975dfaec029666d60ca8f99d76d673a171a96,2026-09-19,API36 emulator-5554,nihao与2笔手写切换保留；备用去重前构建,tracking/evidence/HANDWRITING-20260919.md
HW-20260919-004,HM-D018,Android,platform,PASS,partial,bc12ca52858b358c15f0928d93c975dfaec029666d60ca8f99d76d673a171a96,2026-09-19,API36 emulator-5554,中英查询保留与文案刷新；日语空查询刷新在此前构建；Windows未验,tracking/evidence/HANDWRITING-20260919.md
XH-20260919-001,HM-XH001,Shared,integration,PASS,full,5100a6e1095bebb73d41f74083e689d82fde7d7765c63686dfc0aeb36d92648b,2026-09-19,Windows .NET10 SQLite,18项测试及原始记录完整性和确定性构建,tracking/evidence/XINHUA-20260919.md
XH-20260919-002,HM-XH002,Android,platform,PASS,partial,c6eb4deecd2fb3db2b6ddaff00fbb287eeacda8e0a01d3215507cc6c1ba178a1,2026-09-19,API36 emulator-5554,最终左右换行布局及一些和一简体释义；200%和读屏未验,tracking/evidence/XINHUA-20260919.md
XH-20260919-003,HM-XH003,Android,platform,PASS,full,c6eb4deecd2fb3db2b6ddaff00fbb287eeacda8e0a01d3215507cc6c1ba178a1,2026-09-19,API36 emulator-5554,最终包nihao首50/55下滑追加55/55；模式往返保留结果和位置,tracking/evidence/XINHUA-20260919.md
PV-20260920-001,HM-PV001,Shared,integration,PASS,full,6a862c57ab6baef666184afaf3a477b38c935d0f66a2bc448da0e05c9b97c995,2026-09-20,Windows host or API36 emulator-5554,126项受影响自动测试；204条内容及224音轨,tracking/evidence/PINYIN-VOICE-20260920.md
PV-20260920-002,HM-PV002,Windows,native,PASS,full,2c1a975714907dc5678f9a4afac78c6b51ada13b888cb1c1385930dba80b7879,2026-09-20,Windows host or API36 emulator-5554,13段显式音素合成及非法拒绝和取消；听审NOT RUN,tracking/evidence/PINYIN-VOICE-20260920.md
PV-20260920-003,HM-PV003,Android,platform,PASS,partial,a058a52a31c9cec25e429b2e5df8aca364d0fd1c0d7071c646877a15da113e00,2026-09-20,Windows host or API36 emulator-5554,API36媒体轨迹8000和24000Hz；人民查词及AI开关恢复；无声学听审,tracking/evidence/PINYIN-VOICE-20260920.md
DD-20260920-001,HM-DD001,Shared,integration,PASS,full,b0929cb43a6e74a2e08cb8e97e787124d59fa3fec469d69ef761a8a3e3db944e,2026-09-20,Windows .NET10 production services,36受影响Infrastructure及8审核工具测试；非语言终审,tracking/evidence/DICTIONARY-DETAIL-20260920.md
DD-20260920-002,HM-DD002,Android,platform,PASS,partial,adafb0fcded25a8a7c1398b292091679e55477d735547085edfd19df042b23cd,2026-09-20,API36 emulator-5554,最终容易注音显隐/高亮/点读及日长文展开；文字手写路由本轮前版验证；大字号读屏未验,tracking/evidence/DICTIONARY-DETAIL-20260920.md
DS-20260920-001,HM-DD003,Android,platform,PASS,full,32a5f7688342af461fa6cdc22cc61021c1d64f747be40da7e12e1fde691d2fed,2026-09-20,API36 emulator-5554,上一轮实际长释义off-on-off首块保留且词头未进入视口；本轮补归档；非像素锁定,tracking/evidence/DICTIONARY-SCROLL-20260920.md
D5-20260920-001,HM-D017,Android,platform,PASS,full,919b7497c36f8d9bba5b71dfc069fc2450c646e535bf80b8a95bc7cff47a0422,2026-09-20,API36 emulator-5554,英语200%长按钮完整换行和七入口逐个进入返回；中日英200%显示及滚动检查,tracking/evidence/STAGE-D5-20260920.md
D5-20260920-002,HM-DD001,Shared,integration,PASS,partial,dbacc38be8c07880b33bd769ed1aa5901337cf226c14cd755281d29766743905,2026-09-20,Windows .NET10,23字典相关测试；含独立空编号移除和Unicode偏移/源文/读音保护,tracking/evidence/STAGE-D5-20260920.md
D5-20260920-003,HM-DD004,Android,platform,FAIL,partial,919b7497c36f8d9bba5b71dfc069fc2450c646e535bf80b8a95bc7cff47a0422,2026-09-20,API36 emulator-5554 PID5393,10:56:26长释义滚动Mono原生SIGSEGV；HM-D019根因OPEN,tracking/evidence/STAGE-D5-20260920.md
D5-20260920-004,HM-DD004,Android,platform,PASS,partial,2be301076c32739d883095b3e349c7e1c56b6ce3b8d594a3a8ce74441a561411,2026-09-20,API36 emulator-5554 PID7421,日字条200%两轮展开/拼音显隐/滚到底/收起；收起入口可达且无词头；完整原文1/5页可开；不关闭先前崩溃,tracking/evidence/STAGE-D5-20260920.md
D5-20260920-005,HM-RV001,Shared,integration,PASS,full,c0b0ea85b09ea492f1adf002fabac48237a8955f240e44a16d2ee4654faad4da,2026-09-20,Python3.12 actual bundled dictionary,10审核测试；GZip/SQLite哈希及293批全覆盖；首批1000条导出哈希一致；抽样/过期拒绝，实际未审阻塞,tracking/evidence/STAGE-D5-20260920.md
D5-20260920-006,HM-D020,Android,platform,PASS,partial,4298acde4719aa5f715cc05252bcf48db3b03fb58e8186c6bb914f5b33f7c67d,2026-09-20,API36 emulator-5554,最终构建日本语100%访问搜索后重建200%切英语Saved；再重建100%切中文已保存；当前回调诊断无异常，非所有页面矩阵,tracking/evidence/STAGE-D5-20260920.md
D5-20260920-007,HM-DD004,Windows,platform,BLOCKED,partial,f455e3ff3a9dde7e13e1514ac296d034c1498d5bd45fce8733518f78f4965c8f,2026-09-20,Windows native HanMate,窗口工具将已核对进程路径的HanMate误识别为OneDrive；一次恢复重试失败，停止UI操作,tracking/evidence/STAGE-D5-20260920.md
D6-20260920-001,HM-D021,Windows,platform,PASS,full,f455e3ff3a9dde7e13e1514ac296d034c1498d5bd45fce8733518f78f4965c8f,2026-09-20,Windows .NET10 production application/services,原生ZIP/原后缀保存及取消；读取工程包合并；分享请求返回不声称送达；保存结果生产回读,tracking/evidence/STAGE-D6-20260920.md
D6-20260920-002,HM-D022,Windows,platform,PASS,full,f455e3ff3a9dde7e13e1514ac296d034c1498d5bd45fce8733518f78f4965c8f,2026-09-20,Windows .NET10 production application/services,五条四类/五音轨原生合并与保存；重复added0/reused5；原26内容/设置/资源保持,tracking/evidence/STAGE-D6-20260920.md
D6-20260920-003,HM-D022,Shared,integration,PASS,full,68a7c8477625375746c0f62a5c13a8296ffda0f7d2cb408298580d5f1c644dd7,2026-09-20,Windows .NET10 production application/services,当前生产代码回读D6 Windows返回31内容和D2 Android返回123内容；精确5文档/5音轨及收藏；重复幂等,tracking/evidence/STAGE-D6-20260920.md
D6-20260920-004,HM-D010,Windows,platform,PASS,partial,f455e3ff3a9dde7e13e1514ac296d034c1498d5bd45fce8733518f78f4965c8f,2026-09-20,Windows .NET10 production application/services,当前构建200%混排组合字符/emoji/拼音截图检查；长文下一页2/209；恢复100%；末页/系统200%本轮未验,tracking/evidence/STAGE-D6-20260920.md
D6-20260920-005,HM-D009,Shared,unit,PASS,partial,9bc55f8b1b32cb0eabc700322c4a32f42a6af713f4ebf81e44c56d92c273019d,2026-09-20,Windows .NET10 production application/services,ReadingDocumentTests13项PASS；不重新计为三工程夹具全页投影或平台UI,tracking/evidence/STAGE-D6-20260920.md
D7-20260920-001,HM-D024,Windows,platform,PASS,full,7a0de714c391d5c405e99d69fcdac8cac22a26ce5017131e928e38b46a2788ff,2026-09-20,Windows .NET10 unpackaged published application,原清单复制及哈希一致；最终发布目录实际录音12.7秒ready；stderr为空,tracking/evidence/STAGE-D7-20260920.md
D7-20260920-002,HM-D025,Windows,platform,PASS,full,da3dd9d6ea2f859adb7f5baf8c6e63d06ed994099bf10642dab75d9fe2695b90,2026-09-20,Windows actual audio device; production application,33.4秒用户确认清楚并保存；第二轮16.8秒保存；原默认保持；27.2秒离页草稿；WAV与SQLite回读,tracking/evidence/STAGE-D7-20260920.md
D7-20260920-003,HM-D025,Android,platform,PASS,full,9524c77c3bf6c0d5d500f72a8948045703b543a2bbcaf2ef9814aad44a1b21c2,2026-09-20,vivo V2408A Android16 installed Debug,26.4秒用户确认清楚；7001/7002保存及重启回读；46秒后台草稿；默认未改；哈希/PCM核验,tracking/evidence/STAGE-D7-20260920.md
D7-20260920-004,HM-D026,Android,platform,PASS,full,9524c77c3bf6c0d5d500f72a8948045703b543a2bbcaf2ef9814aad44a1b21c2,2026-09-20,vivo V2408A Android16 installed Debug,ADB受控拒绝连续两次提示；恢复授权后14.7秒ready；断网本地播放；系统TTS不可用；设置恢复,tracking/evidence/STAGE-D7-20260920.md
D7-20260920-005,HM-D026,Windows,platform,PASS,partial,da3dd9d6ea2f859adb7f5baf8c6e63d06ed994099bf10642dab75d9fe2695b90,2026-09-20,Windows installed Mandarin SpeechSynthesizer,实际系统普通话候选与固定句试听完成；未切电脑网络或禁用Windows隐私总开关,tracking/evidence/STAGE-D7-20260920.md
D7-20260920-006,HM-D027,Shared,unit,PASS,partial,9bc55f8b1b32cb0eabc700322c4a32f42a6af713f4ebf81e44c56d92c273019d,2026-09-20,Windows .NET10 Core.Tests,29项PlaybackCoordinator/CompressedAudio/SpeechText通过,tracking/evidence/STAGE-D7-20260920.md
D7-20260920-007,HM-D027,Shared,unit,PASS,partial,508ce6d86eaef8589961cbc22cd694f96966aad5fac1cbd9191f84bcf229fd27,2026-09-20,Windows .NET10 Infrastructure.Tests,25项LocalAudio/ReadingAudio通过,tracking/evidence/STAGE-D7-20260920.md
D7-20260920-008,HM-D027,Windows,native,PASS,partial,2ba0dee7baffaa6a4778b238d79f807b1643bba2c5cdfc21dc8c192c5a2293b2,2026-09-20,Windows production MediaTranscoder/AudioFileImport probe,MP3/M4A真实解码非静音；截断拒绝；取消清理；两音轨备份往返,tracking/evidence/STAGE-D7-20260920.md
DD-20260923-001,HM-DD004,Android,platform,PASS,partial,392f035147eeeff4a00e5408b7b425deb59d6589475b09cb2a57881aebf1653f,2026-09-23,API36 isolated 4GB emulator-5554 UI-only Release package,日长释义3轮及追加5轮展开拼音显隐滚动收起；同语言原文返回首5块保位；不含语音模型且未验真机/字号,tracking/evidence/HM-D019-CLOSURE-20260923.md
DD-20260923-002,HM-DD004,Windows,platform,PASS,partial,2cccae13eb3df4a22418e040de65e36268a6f758c411dc5f4f769f7a2c486bb9,2026-09-23,Windows x64 workspace Release native UI,日长释义展开滚动中段打开原文再返回；首5块ID及位置一致且展开态保留；其他字号和完整原文未验,tracking/evidence/DICTIONARY-RETURN-20260923.md
W5-20260923-001,HM-T008,Android,platform,PASS,partial,7e460eebf4d4fb0869eba8b54f2520b4c05aac8651bd9c6445c8e58c1449137d,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,系统200%字典英文标题和拼音工具栏完整可见；其他页面及读屏未验,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-002,HM-T001,Android,platform,PASS,partial,7e460eebf4d4fb0869eba8b54f2520b4c05aac8651bd9c6445c8e58c1449137d,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,已打开日字典页英日中英切换后标题拼音按钮释义及日英页脚刷新；其他模块未验,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-003,HM-DD004,Android,platform,PASS,partial,7e460eebf4d4fb0869eba8b54f2520b4c05aac8651bd9c6445c8e58c1449137d,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,恢复系统100%后日释义中段打开原文并返回；前后首5个可见块ID及bounds一致；其他词条未验,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-004,HM-T145,Android,platform,PASS,partial,7e460eebf4d4fb0869eba8b54f2520b4c05aac8651bd9c6445c8e58c1449137d,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,随附学习资源详情141条启用优先级10；条目可阅读返回；禁用后显示Disabled并重新启用恢复Enabled；未卸载或跨应用验证,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-005,HM-T127,Windows,integration,PASS,partial,fde7db40d34e2e00443407abb42d0da06fafc312072e90af07fcc5903ab96f25,2026-09-23,Windows .NET10 Release isolated performance host,10k同词头查询30次每场景P95最高57.43ms；不含UI或Android参考设备,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-006,HM-T128,Windows,integration,PASS,partial,fddbd0e83afc1a9bafaab1b192df344c79b915ff048009b9cb583cf847ffb318,2026-09-23,isolated Windows process and temporary SQLite fixtures,恢复5个故障点及媒体清理2个故障点PASS；不含设备卷满或重复UI操作,tracking/evidence/W5-REGRESSION-20260923.md
W5-20260923-007,HM-T152,Android,platform,PASS,partial,951e665830d27515d675525c593254aefa5ba69a3096c473d94a85f63c19b51d,2026-09-23,API36 isolated 4GB emulator-5554 full development-signed Release,随附资源141条卸载后0条；重启未自动重装；1条收藏引用卸载后保留且可读；显式恢复141条收藏不重复；音轨草稿撤下及跨版未验,tracking/evidence/W5-REGRESSION-20260923.md
