requirementId,description,priority,documents,tests,implementationStatus
R11,收藏夹新增编辑删除与详情,P0,docs/13_Favorites_and_Settings.md,HM-T061;HM-T062;HM-T063;HM-T064;HM-T065;HM-T066;HM-T067;HM-T068;HM-T069;HM-T070;HM-T137;HM-T148;HM-T160,IN PROGRESS
R12,设置页面,P0,docs/13_Favorites_and_Settings.md,HM-T061;HM-T062;HM-T063;HM-T064;HM-T065;HM-T066;HM-T067;HM-T068;HM-T069;HM-T070,IN PROGRESS
R13,单文件设置收藏及个人资料离线迁移,P0,docs/07_Data_Model_and_Persistence.md;docs/14_Package_Format_and_Validation.md;docs/15_Backup_Restore_and_Conflict_Resolution.md,HM-T061;HM-T062;HM-T063;HM-T064;HM-T065;HM-T066;HM-T067;HM-T068;HM-T069;HM-T070;HM-T099;HM-T100;HM-T101;HM-T102;HM-T103;HM-T104;HM-T105;HM-T106;HM-T107;HM-T108;HM-T109;HM-T110;HM-T111;HM-T112;HM-T113;HM-T114;HM-T115;HM-T116;HM-T117;HM-T118;HM-T119;HM-T120;HM-T121;HM-T122;HM-T123;HM-T124;HM-T125;HM-T126;HM-T127;HM-T128;HM-T150;HM-T162;HM-T173;HM-T174;HM-T175;HM-T176,NOT STARTED
R14,输入/TXT导入和自动注音,P0,docs/08_Pinyin_Engine_and_Correction.md;docs/12_Text_Import_and_Editor.md,HM-T071;HM-T072;HM-T073;HM-T074;HM-T075;HM-T076;HM-T077;HM-T078;HM-T079;HM-T080;HM-T081;HM-T082;HM-T119;HM-T120;HM-T121;HM-T122;HM-T123;HM-T124;HM-T125;HM-T126;HM-T127;HM-T128;HM-T140;HM-T155,IN PROGRESS
R15,人工修改拼音并保存,P0,docs/07_Data_Model_and_Persistence.md;docs/08_Pinyin_Engine_and_Correction.md;docs/12_Text_Import_and_Editor.md,HM-T033;HM-T034;HM-T035;HM-T036;HM-T037;HM-T038;HM-T039;HM-T040;HM-T041;HM-T042;HM-T043;HM-T044;HM-T045;HM-T046;HM-T047;HM-T048;HM-T049;HM-T050;HM-T051;HM-T052;HM-T053;HM-T054;HM-T055;HM-T056;HM-T057;HM-T058;HM-T059;HM-T060;HM-T071;HM-T072;HM-T073;HM-T074;HM-T075;HM-T076;HM-T077;HM-T078;HM-T079;HM-T080;HM-T081;HM-T082;HM-T099;HM-T100;HM-T101;HM-T102;HM-T103;HM-T104;HM-T105;HM-T106;HM-T107;HM-T108;HM-T109;HM-T110;HM-T111;HM-T112;HM-T113;HM-T114;HM-T115;HM-T116;HM-T117;HM-T118;HM-T135;HM-T155;HM-T176,IN PROGRESS
R16,用户录音、导入音频和分享,P0,docs/11_Audio_Playback_and_Recording.md;docs/14_Package_Format_and_Validation.md;docs/15_Backup_Restore_and_Conflict_Resolution.md,HM-T083;HM-T084;HM-T085;HM-T086;HM-T087;HM-T088;HM-T089;HM-T090;HM-T091;HM-T092;HM-T093;HM-T094;HM-T095;HM-T096;HM-T097;HM-T098;HM-T099;HM-T100;HM-T101;HM-T102;HM-T103;HM-T104;HM-T105;HM-T106;HM-T107;HM-T108;HM-T109;HM-T110;HM-T111;HM-T112;HM-T113;HM-T114;HM-T115;HM-T116;HM-T117;HM-T118;HM-T119;HM-T120;HM-T121;HM-T122;HM-T123;HM-T124;HM-T125;HM-T126;HM-T127;HM-T128;HM-T133;HM-T148;HM-T160;HM-T167;HM-T168,IN PROGRESS
R17,正式名称HanMate/汉语小伴,P0,docs/00_Project_Master_Plan.md;docs/05_Localization_and_Copy.md;docs/22_Build_Release_and_Operations.md,HM-T129,IN PROGRESS
R18,独立语法学习、预置、编辑与收藏,P0,docs/30_Grammar_Module.md;docs/07_Data_Model_and_Persistence.md,HM-T130;HM-T131;HM-T132;HM-T133;HM-T134;HM-T135;HM-T136;HM-T137;HM-T138;HM-T139;HM-T140;HM-T172;HM-T174;HM-T176,IN PROGRESS
R19,四类内容添加删除与学习资源生命周期,P0,docs/31_Content_Resource_Lifecycle.md;docs/12_Text_Import_and_Editor.md,HM-T136;HM-T137;HM-T141;HM-T142;HM-T143;HM-T144;HM-T145;HM-T146;HM-T147;HM-T148;HM-T149;HM-T150;HM-T152;HM-T174,IN PROGRESS
R20,字典添加删除、启停、来源查询,P0,docs/32_Dictionary_Management.md;docs/10_Search_and_Indexing.md,HM-T144;HM-T153;HM-T154;HM-T155;HM-T156;HM-T157;HM-T158;HM-T159;HM-T160;HM-T161;HM-T162;HM-T163;HM-T164;HM-T173;HM-T174;HM-T175,IN PROGRESS
R21,单条/多选学习内容及本人录音分享,P0,docs/33_Sharing_Workflows.md;docs/14_Package_Format_and_Validation.md,HM-T139;HM-T165;HM-T166;HM-T167;HM-T168;HM-T169;HM-T170;HM-T171;HM-T172;HM-T173,IN PROGRESS
R22,未来下载的资源协议与本地安装准备；在线实现另列后续,P0,docs/31_Content_Resource_Lifecycle.md;docs/32_Dictionary_Management.md;docs/34_Compatibility_and_Migration.md,HM-T141;HM-T151;HM-T175,IN PROGRESS
