testId,title,steps,expected,platforms
HM-D014,Windows例词卡整行及键盘,b右键打开例词；波浪整行右键查词；返回后聚焦并Enter和F10,可聚焦激活；右键F10进入共用释义；不计音质与触摸长按验收,Windows
HM-D015,Windows语音包实际UI,下载确认取消后重试；中文试听；启用停用；英文emoji拒绝；恢复默认试听文字,实际下载及播放完成状态；拒绝不支持文本；保留模型并恢复停用；不计网络中断或听审,Windows
HM-D016,Windows导入取消重试预览,Open取消；重新选已有D3备份；观察复用预览后取消,取消反馈正确；重试Add0/reuse3；不执行替换或新合并,Windows
HM-D017,大字体设置长按钮,系统200%打开英语设置并检查各长入口完整文字及滚动可达,长按钮完整可见且可操作；完整可访问名不能替代视觉检查,Android
HM-D018,搜索标签语言返回,打开搜索后从设置切语言再返回；观察说明和管理分页按钮,所有UI文案随语言刷新；教学中文保持；查询状态不丢,Android;Windows
HM-HW001,离线单字模板识别,独立一十人口大中及变换；前缀撤销空态；非法与取消,候选包含目标；排名一致；输入及取消有界,Shared
HM-HW002,手写逐笔与字词释义,田字格写十；点击字词；返回撤销清空；点击缺词,逐笔更新；进入原释义；笔迹保留；缺词明确提示,Android;Windows;iOS
HM-HW003,文字手写切换保留,文字输入nihao；切手写再切文字,笔迹与查询结果各自保留,Android;Windows;iOS
HM-XH001,简体默认字典数据,原文记录核对；简繁拼音；自动注音；启停与游标；常用词排序,简体释义；自动读音不冒充确认；分页去重；个人库不写入,Shared
HM-XH002,手机紧凑手写与简体释义,标题切换；无提示；图标；候选左右换行；点击字词,左字拼音右词无拼音；打开正确简体释义；笔迹保留,Android;Windows;iOS
HM-XH003,文字搜索下滑追加,50条以上查询下滑；模式往返；继续滚动,无分页按钮；自动追加；无重复；查询和位置保留,Android;Windows;iOS
HM-PV001,教学音素与扩展内容,核对全部按钮例词音素及音轨哈希和注音；两跳备份,明确注音完整保留；声母教学读法与轻声正确映射,Shared
HM-PV002,离线教学原生合成,13组教学音素生成；非法输入与取消；普通朗读恢复,有效非静音WAV且不改原词表；不冒充听审,Windows
HM-PV003,拼音AI优先与例词交互,启用声音后点b与ü和ong；点人民并长按；关闭AI后试录音并恢复,走所选AI声音；查词只读；录音回退与缺音明确；高亮无下划线,Android;Windows;iOS
HM-DD001,字典展示注音与例句保护,上下文注音；源文及人工注音保留；例句抽取；Unicode高亮；空行压缩,视图补注不写回源文；缺例句不伪造；高亮命中准确,Shared
HM-DD002,专用字典详情交互,文字/手写/拼音查词；显隐；播放；长释义展开；目标高亮；大字号,同一简洁详情；完整原文可展开；目标字词及拼音高亮无下划线,Android;Windows;iOS
HM-DD003,字典拼音显隐保位,展开长释义并向下滚动；隐藏/显示/隐藏拼音,当前阅读块保留且不返回词头；行高变化可自然重排,Android;Windows;iOS
HM-DD004,字典展开收起和原文保护,长词条滚到展开入口；展开并显隐拼音；滚到底收起；查看完整原文；重复,不返回词头；收起入口可达；只隐藏独立空编号且原文完整；无崩溃,Android;Windows;iOS
HM-RV001,独立默认词库审核门禁,核验压缩和SQLite哈希；按固定顺序分批；导出首批；尝试过期和抽样审核记录,292114条无遗漏；293批；旧哈希及不足整批审核拒绝；未审及权利未知阻止发行,Shared
HM-D020,字体重建后的语言通知,访问搜索及详情；系统字体100%到200%再100%；中日英切换并返回搜索,当前窗口和已保存语言一致；旧页面不阻断通知；无误报取消或崩溃,Android;Windows
HM-D021,Windows系统文件交付,实际应用备份ZIP保存、原后缀保存、取消、FilePicker读取和分享请求,严格回读保存文件；取消可恢复；分享不声称已送达,Windows
HM-D022,Windows原生工程迁移与资料保护,原生合并D2五条四类内容/五音轨、系统另存、精确回读、重复合并、对照原资料,正文/ID/人工音/收藏/音轨哈希默认一致；新增5；原26内容设置资源不变；重复新增0,Windows;Shared
HM-D023,本轮平台排除与发布门禁,核对用户指令、backlog48编号、最新状态及预检范围,iOS不参与本轮DONE且不填PASS；真机录音和正式审核签名门禁不豁免,Shared
HM-D024,Windows未打包录音清单,构建及publish复制清单；从发布目录启动并实际录音停止,原清单哈希一致；不绕过权限；生成完整ready草稿,Windows
HM-D025,实际设备录音保存与默认保护,人声录音试听确认；再次录音保存；离页或后台；重进及只读核对WAV和数据库,原音轨和默认保持；新录音完整；后台停止保留草稿,Windows;Android
HM-D026,实际权限及离线语音状态,受控拒绝后重复点击；恢复权限；断网本地播放；系统普通话可用或不可用检测,拒绝明确提示；恢复可录；离线可播放；不可用不冒充合成；临时设置恢复,Windows;Android
HM-D027,音频服务与生产压缩解码回归,协调/持久化测试；生产MP3/M4A解码；截断拒绝；取消清理；备份往返,受影响测试通过；真实WAV验证；失败无错误完成或残留解码草稿,Shared;Windows
