testId,category,requirements,title,precondition,steps,expected,level,platforms,priority,status,evidence
HM-T018,拼音教学,R04;R05;R07,Windows等价入口,已构建对应模块；使用独立测试资料，不覆盖真实用户库,用鼠标示例按钮或右键打开例词,无需触屏长按也能进入四声示例,平台+内容,iOS;Android;Windows,P0,NOT RUN,
HM-T019,拼音教学,R04;R05;R07,局部拼音标红,已构建对应模块；使用独立测试资料，不覆盖真实用户库,查看 m 对应 mā 与 a 对应 ā 的例词,仅数据指向的拼音范围高亮，不全局替换汉字或相同字母,平台+内容,iOS;Android;Windows,P0,NOT RUN,
HM-T020,拼音教学,R04;R05;R07,点击整行例词,已构建对应模块；使用独立测试资料，不覆盖真实用户库,点击四声行的文字而非小图标,朗读整个例词，目标说明保持一致,平台+内容,iOS;Android;Windows,P0,NOT RUN,
HM-T021,拼音教学,R04;R05;R07,缺示例不编造,已构建对应模块；使用独立测试资料，不覆盖真实用户库,打开某声调没有已审核例词的条目,明确暂无示例，不用轻声顶替、不制造词语,平台+内容,iOS;Android;Windows,P0,NOT RUN,
HM-T022,拼音教学,R04;R05;R07,缺教学音频,已构建对应模块；使用独立测试资料，不覆盖真实用户库,用开发坏素材夹移除一个示范音频,正常提示不可播放且列为素材缺陷，不静默 TTS 冒充,平台+内容,iOS;Android;Windows,P0,NOT RUN,
HM-T023,学习与词条,R06;R07;R08,四种内容入口,已构建对应模块；使用独立测试资料，不覆盖真实用户库,切换词语、课文、语法、诗词,各有对应真实仓储数据与空状态,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T024,学习与词条,R06;R07;R08,多维筛选AND,已构建对应模块；使用独立测试资料，不覆盖真实用户库,同时选择一个场景、难度和学段,结果同时满足各维度条件,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T025,学习与词条,R06;R07;R08,同维多选OR,已构建对应模块；使用独立测试资料，不覆盖真实用户库,同一场景选择家庭与学校,显示属于任一场景并满足其他维度的内容,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T026,学习与词条,R06;R07;R08,学段独立,已构建对应模块；使用独立测试资料，不覆盖真实用户库,选择未标学段与小学标签不同的资料,未标注不自动当小学，难度不强制映射学段,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T027,学习与词条,R06;R07;R08,清除筛选,已构建对应模块；使用独立测试资料，不覆盖真实用户库,应用多个筛选后点清除,恢复默认列表和标签状态,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T028,学习与词条,R06;R07;R08,同字不同义音,已构建对应模块；使用独立测试资料，不覆盖真实用户库,建立两个正文相同但读音/义项不同的词条,具有不同 ID，搜索和详情不混淆,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T029,学习与词条,R06;R07;R08,词条头部播放,已构建对应模块；使用独立测试资料，不覆盖真实用户库,点击大字词条头部,朗读该词条当前义项，不跳到其他同字词,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T030,学习与词条,R06;R07;R08,例句整句朗读,已构建对应模块；使用独立测试资料，不覆盖真实用户库,点击有逗号的例句,朗读整个 example unit，不只读到首个逗号,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T031,学习与词条,R06;R07;R08,个人词条无例句,已构建对应模块；使用独立测试资料，不覆盖真实用户库,保存只有词头的个人词条,能正常打开，无虚构自动例句,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T032,学习与词条,R06;R07;R08,内置编辑保护,已构建对应模块；使用独立测试资料，不覆盖真实用户库,尝试编辑内置正文或拼音,提示复制个人版本，原目录内容不被写坏,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T033,注音阅读与分段,R06;R09;R15,基本Ruby对齐,已构建对应模块；使用独立测试资料，不覆盖真实用户库,显示学习词条和多行课文,每字或合法儿化单元的拼音与正文成组换行,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T034,注音阅读与分段,R06;R09;R15,不同宽度混排,已构建对应模块；使用独立测试资料，不覆盖真实用户库,显示长拼音、汉字、数字、英文和 Emoji,使用真实测量，无空格凑齐造成的偏移,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T035,注音阅读与分段,R06;R09;R15,逗号句号问号分段,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入今天天气很好，我们去公园。你要一起去吗？,形成三个 speech 段，标点归前段，文本完整还原,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T036,注音阅读与分段,R06;R09;R15,连续标点,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入真的吗？！好吧……,连续标点作为边界组，无空播放段,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T037,注音阅读与分段,R06;R09;R15,闭引号处理,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入他说：“你好！”然后走了。,紧随终止标点的闭引号留前段，全部字符保留,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T038,注音阅读与分段,R06;R09;R15,数字时间保护,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入3.14、10:30和版本1.2.3,不在数字内部标点错误截断,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T039,注音阅读与分段,R06;R09;R15,网址保护,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入含完整 URL 的句子,不在 URL 内部按句点拆开，原文未改写,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T040,注音阅读与分段,R06;R09;R15,CRLF与空行,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入包含 CRLF 和空白行的诗文,字符/换行守恒，布局段不触发语音,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T041,注音阅读与分段,R06;R09;R15,枚举顿号,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入苹果、香蕉和梨。,顿号不单独分出可点击段,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T042,注音阅读与分段,R06;R09;R15,点击片段放大,已构建对应模块；使用独立测试资料，不覆盖真实用户库,点击课文一个小段,同一放大层显示目标，播放到该段末即停止,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T043,注音阅读与分段,R06;R09;R15,重复点击与切段,已构建对应模块；使用独立测试资料，不覆盖真实用户库,正在朗读时点同段，再点另一段,同段停止；另一段替换声音，旧回调不改新高亮,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T044,注音阅读与分段,R06;R09;R15,上下一段导航,已构建对应模块；使用独立测试资料，不覆盖真实用户库,在放大层使用上一段/下一段,只切换显示，默认不自动发声,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T045,注音阅读与分段,R06;R09;R15,全文朗读取消,已构建对应模块；使用独立测试资料，不覆盖真实用户库,开始全文朗读后退出阅读器,后续片段不继续，相关音频和高亮结束,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T046,注音阅读与分段,R06;R09;R15,长无标点正文,已构建对应模块；使用独立测试资料，不覆盖真实用户库,"打开20,000文本元素且无标点的正文",保留一个合法语义段也能布局滚动，不静默截断或按视觉行改语义,单元+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T047,离线字典搜索,R10;R15,汉字精确匹配,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索你好,对应已收录词条优先，未知资料不伪造释义,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T048,离线字典搜索,R10;R15,无调分隔输入,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索ni hao,召回你好等完整音节匹配词条,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T049,离线字典搜索,R10;R15,无调连续输入,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索nihao,可召回同样读音，稳定排序,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T050,离线字典搜索,R10;R15,带调分隔输入,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索nǐ hǎo,正确声调完整候选先于无调近似候选,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T051,离线字典搜索,R10;R15,数字声调连续输入,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索ni3hao3,与相应带调查询语义一致,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T052,离线字典搜索,R10;R15,大小写与空格,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索带首尾空格的大写NI HAO,规范化后结果一致，不改输入法中间状态,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T053,离线字典搜索,R10;R15,ü输入别名,已构建对应模块；使用独立测试资料，不覆盖真实用户库,分别搜索nǚ、nv、nu:,对应 ü 候选一致,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T054,离线字典搜索,R10;R15,u与ü区分,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索nu并与nv比较,不无条件等同，正确区分怒/女相关读音,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T055,离线字典搜索,R10;R15,隔音符边界,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索xi'an,西安等两音节匹配优先，不伪装成先的精确边界匹配,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T056,离线字典搜索,R10;R15,连续歧义拼音,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索xian,可召回先与西安，显示各自真实音节与声调,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T057,离线字典搜索,R10;R15,轻声0和5,已构建对应模块；使用独立测试资料，不覆盖真实用户库,搜索同词的ma0与ma5形式,均按轻声规范处理；无声调不是强制轻声,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T058,离线字典搜索,R10;R15,查询迟到,已构建对应模块；使用独立测试资料，不覆盖真实用户库,快速输入三个查询并让第一个最后返回,只显示最新 queryId 的结果,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T059,离线字典搜索,R10;R15,底部框与IME,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入中文组合串并弹出键盘,输入框可见，不频繁重写组合文本打断输入法,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T060,离线字典搜索,R10;R15,索引随改音,已构建对应模块；使用独立测试资料，不覆盖真实用户库,修改个人词条读音并保存后立即搜索,新索引原子生效，可重建，旧读音不作当前精确读音,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T061,收藏与设置,R11;R12;R13,收藏夹新增改名,已构建对应模块；使用独立测试资料，不覆盖真实用户库,新建、重命名、改说明后重启,数据保留且标题合法,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T062,收藏与设置,R11;R12;R13,空名和等价名,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入全空格名称及规范化后相同名称,拒绝空名和普通夹重名，提示可理解,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T063,收藏与设置,R11;R12;R13,多收藏夹同词,已构建对应模块；使用独立测试资料，不覆盖真实用户库,将同一词加入两个收藏夹,两夹各有一次，逻辑内容只有一个,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T064,收藏与设置,R11;R12;R13,重复收藏,已构建对应模块；使用独立测试资料，不覆盖真实用户库,同一夹重复添加同内容,不产生重复关系,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T065,收藏与设置,R11;R12;R13,删除一个收藏夹,已构建对应模块；使用独立测试资料，不覆盖真实用户库,删除包含多条内容的自建夹,原文、音频和其他夹关系保留,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T066,收藏与设置,R11;R12;R13,默认夹保护,已构建对应模块；使用独立测试资料，不覆盖真实用户库,更换语言后检查默认夹并尝试删除,仍是唯一 systemRole 默认夹，不按名称重复创建,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T067,收藏与设置,R11;R12;R13,收藏按钮多选,已构建对应模块；使用独立测试资料，不覆盖真实用户库,已在多个夹收藏时点收藏按钮,展示成员选择；全部取消才取消全部收藏,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T068,收藏与设置,R11;R12;R13,删除个人正文,已构建对应模块；使用独立测试资料，不覆盖真实用户库,删除有收藏与音轨引用的个人内容,先提示影响并确认；合法级联和文件引用检查,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T069,收藏与设置,R11;R12;R13,阅读设置恢复,已构建对应模块；使用独立测试资料，不覆盖真实用户库,改字号/拼音可见性后重启并恢复备份,按数据库设置刷新，不被旧 Preferences 覆盖,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T070,收藏与设置,R11;R12;R13,跨设备语音偏好,已构建对应模块；使用独立测试资料，不覆盖真实用户库,恢复含普通话偏好的备份到无同 voiceId 设备,重新匹配可用语音，不保存无效设备ID阻断恢复,集成+平台,iOS;Android;Windows,P0,NOT RUN,
HM-T071,导入与注音编辑,R14;R15,支持编码,已构建对应模块；使用独立测试资料，不覆盖真实用户库,分别导入UTF-8、UTF-8 BOM、UTF-16 LE/BE BOM的TXT,正确解码，仅移除编码 BOM，内容与换行保留,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T072,导入与注音编辑,R14;R15,不支持编码,已构建对应模块；使用独立测试资料，不覆盖真实用户库,导入无BOM且不是合法UTF-8的文件,明确拒绝/提示转换，不替换成乱码后保存,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T073,导入与注音编辑,R14;R15,文件与正文限额,已构建对应模块；使用独立测试资料，不覆盖真实用户库,"分别超过1MiB TXT或20,000文本元素",两种阈值独立检查，拒绝不截断，原输入可处理,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T074,导入与注音编辑,R14;R15,取消导入,已构建对应模块；使用独立测试资料，不覆盖真实用户库,在预览和注音阶段分别取消,不产生半完成正式内容，临时资料可清理,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T075,导入与注音编辑,R14;R15,草稿恢复,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入未保存内容并按草稿流程退出重进,恢复已成功落盘草稿，状态不冒充正式保存,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T076,导入与注音编辑,R14;R15,上下文多音字,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入银行、行走、音乐、快乐测试集,结果对应已校对预期，未知规则有复核状态,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T077,导入与注音编辑,R14;R15,人工带调输入,已构建对应模块；使用独立测试资料，不覆盖真实用户库,将某字读音以lǜ或lv4保存,规范存base=lü、tone=4、display=lǜ,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T078,导入与注音编辑,R14;R15,锁定重生成,已构建对应模块；使用独立测试资料，不覆盖真实用户库,锁定人工读音后再次自动注音,保留锁定项，全部覆盖需预览确认,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T079,导入与注音编辑,R14;R15,插入原文,已构建对应模块；使用独立测试资料，不覆盖真实用户库,在校正字前插入文字并保存,不按旧数组下标把读音套到别字,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T080,导入与注音编辑,R14;R15,重复片段歧义,已构建对应模块；使用独立测试资料，不覆盖真实用户库,重复句子之间插入删除并重分析,不确定对应关系标记复核，不武断绑定旧录音,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T081,导入与注音编辑,R14;R15,未知字与Emoji,已构建对应模块；使用独立测试资料，不覆盖真实用户库,输入生僻字、Emoji、组合字符、繁体,保留原文；非汉字不强行拼音；未知音与轻声区分,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T082,导入与注音编辑,R14;R15,并发编辑冲突,已构建对应模块；使用独立测试资料，不覆盖真实用户库,两编辑器基于相同rowRevision先后保存,后提交获REVISION_CONFLICT并保留草稿，不按时钟覆盖,单元+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T083,声音与录音,R04;R08;R09;R16,单会话播放,已构建对应模块；使用独立测试资料，不覆盖真实用户库,连续点击多条本地音频,始终一项播放，旧音源停止,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T084,声音与录音,R04;R08;R09;R16,迟到完成事件,已构建对应模块；使用独立测试资料，不覆盖真实用户库,旧播放器取消后延迟触发完成,不清掉新声音高亮，不继续旧全文队列,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T085,声音与录音,R04;R08;R09;R16,录音与播放互斥,已构建对应模块；使用独立测试资料，不覆盖真实用户库,播放时开始录音,先停止播放再实际录音，无扬声器任务残留,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T086,声音与录音,R04;R08;R09;R16,录音中点击播放,已构建对应模块；使用独立测试资料，不覆盖真实用户库,正在录音时点词条,不丢失录音，返回明确忙状态,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T087,声音与录音,R04;R08;R09;R16,拒绝麦克风,已构建对应模块；使用独立测试资料，不覆盖真实用户库,首次拒绝录音权限,不循环弹窗，其他学习功能可用,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T088,声音与录音,R04;R08;R09;R16,录音保存链,已构建对应模块；使用独立测试资料，不覆盖真实用户库,录制、停止、试听、重录、保存,实际可听有效音频，文件与所选目标一致,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T089,声音与录音,R04;R08;R09;R16,录音中断,已构建对应模块；使用独立测试资料，不覆盖真实用户库,来电或应用进入后台,状态真实，尽量保留可恢复草稿，不隐蔽续录,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T090,声音与录音,R04;R08;R09;R16,录音上限,已构建对应模块；使用独立测试资料，不覆盖真实用户库,达到时长或字节上限,达到先到阈值安全停止，草稿可试听处理,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T091,声音与录音,R04;R08;R09;R16,格式与实际编码,已构建对应模块；使用独立测试资料，不覆盖真实用户库,导入扩展名正确但不可解码的音频,拒绝并说明，不通过改扩展名伪装格式,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T092,声音与录音,R04;R08;R09;R16,多音轨默认选择,已构建对应模块；使用独立测试资料，不覆盖真实用户库,录内置词条跟读并保存,不默认覆盖标准示范；显式选择才切换,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T093,声音与录音,R04;R08;R09;R16,拼音修改影响声音,已构建对应模块；使用独立测试资料，不覆盖真实用户库,修改有效读音后打开绑定音轨,标记需复核，不宣称TTS自动遵循改音,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T094,声音与录音,R04;R08;R09;R16,仅元数据修改,已构建对应模块；使用独立测试资料，不覆盖真实用户库,只改标题/分类/译文,正文和读音未变的音轨保持适用,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T095,声音与录音,R04;R08;R09;R16,只有整篇音频,已构建对应模块；使用独立测试资料，不覆盖真实用户库,导入整篇录音后点单段,不平均分配时间戳；单段按独立音源或TTS处理,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T096,声音与录音,R04;R08;R09;R16,普通话语音缺失,已构建对应模块；使用独立测试资料，不覆盖真实用户库,设备没有可用中文系统语音,不读成其他语言，仍可阅读/录音,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T097,声音与录音,R04;R08;R09;R16,严格本地模式,已构建对应模块；使用独立测试资料，不覆盖真实用户库,选择localOnly后播放无录音新文本,不调用系统TTS，准确提示缺少本地音频,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T098,声音与录音,R04;R08;R09;R16,分享单独录音,已构建对应模块；使用独立测试资料，不覆盖真实用户库,对选定用户音频调用系统分享,只开放选中文件，接收端可识别真实格式,平台+集成,iOS;Android;Windows,P0,NOT RUN,
HM-T099,分享备份与恢复,R13;R15;R16,内容包范围,已构建对应模块；使用独立测试资料，不覆盖真实用户库,分享一个内容并选择一条音轨,只含选定内容闭包和音轨，不带设置/其他收藏,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T100,分享备份与恢复,R13;R15;R16,完整备份范围,已构建对应模块；使用独立测试资料，不覆盖真实用户库,导出含个人文本校正录音收藏的用户库,所有已保存个人资料与用户音频依赖完整，草稿提示另行保存,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T101,分享备份与恢复,R13;R15;R16,导出期间一致性,已构建对应模块；使用独立测试资料，不覆盖真实用户库,导出时尝试修改内容和执行文件GC,使用一致快照/文件租约，不出现文本和音轨混合版本,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T102,分享备份与恢复,R13;R15;R16,保存取消,已构建对应模块；使用独立测试资料，不覆盖真实用户库,生成包后取消系统保存窗口,显示取消而非已保存，不破坏本地资料,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T103,分享备份与恢复,R13;R15;R16,清单和计数,已构建对应模块；使用独立测试资料，不覆盖真实用户库,修改counts或清单条目后导入,拒绝实体计数/实际文件集合不一致,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T104,分享备份与恢复,R13;R15;R16,包内文件哈希,已构建对应模块；使用独立测试资料，不覆盖真实用户库,篡改contents或音频一个字节,写正式库前拒绝哈希不符,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T105,分享备份与恢复,R13;R15;R16,同包幂等,已构建对应模块；使用独立测试资料，不覆盖真实用户库,连续两次导入完全相同包；删除一次导入条目后明确重新导入；编辑后再次用同备份执行替换恢复,复用收据和映射，不增加重复派生内容；旧收据不阻止明确重装/再次恢复，每次执行身份独立；当前实体存在性和冲突重新检查,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T106,分享备份与恢复,R13;R15;R16,相同包ID异内容,已构建对应模块；使用独立测试资料，不覆盖真实用户库,用相同packageId提供不同有效manifest,拒绝PACKAGE_ID_COLLISION，不静默当新包,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T107,分享备份与恢复,R13;R15;R16,内容ID冲突,已构建对应模块；使用独立测试资料，不覆盖真实用户库,导入同ID但正文或校正不同的内容,保留双方，嵌套unit/token/segment/target关联完整重映射,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T108,分享备份与恢复,R13;R15;R16,同名收藏夹冲突,已构建对应模块；使用独立测试资料，不覆盖真实用户库,导入不同ID但同名夹,确定后缀保留双方，用户显式合并才合并,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T109,分享备份与恢复,R13;R15;R16,默认收藏夹映射,已构建对应模块；使用独立测试资料，不覆盖真实用户库,导入另一语言创建的默认夹,通过systemRole复用本机唯一默认夹,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T110,分享备份与恢复,R13;R15;R16,合并设置策略,已构建对应模块；使用独立测试资料，不覆盖真实用户库,本机英语UI合并日语设置备份且未勾应用设置,保持本机UI；显式选中后才应用备份偏好,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T111,分享备份与恢复,R13;R15;R16,替换安全备份,已构建对应模块；使用独立测试资料，不覆盖真实用户库,执行完整替换并模拟预备份失败,失败即禁止破坏性替换，原库保持有效,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T112,分享备份与恢复,R13;R15;R16,预览计划过期,已构建对应模块；使用独立测试资料，不覆盖真实用户库,生成导入计划后修改本机数据再确认,检测dataEpoch并要求重新预览，不执行旧计划,集成+安全,iOS;Android;Windows,P0,NOT RUN,
HM-T113,分享备份与恢复,R13;R15;R16,提交前崩溃,已构建对应模块；使用独立测试资料，不覆盖真实用户库,正式音频安装后、SQLite提交前终止进程,旧数据有效，新孤立文件可安全回收,集成+安全,iOS;Android;Windows,P0,NOT RUN,
