㓈	bìng
㓉	huò
㓊	dòng
㓋	gòng
㓌	chēng
㓎	qìn
㓎	qīn
㓎	qǐn
㓏	jiǒng
㓐	lù
㓑	xìng
㓓	nán
㓔	xiè
㓖	bì
㓗	jié
㓘	sù
㓚	gōng
㓜	yòu
㓝	xíng
㓞	qià
㓟	pí
㓠	diàn
㓠	diǎn
㓡	fǔ
㓡	guā
㓢	luò
㓣	gē
㓣	qià
㓤	qià
㓥	tāng
㓦	bāi
㓧	gān
㓨	cí
㓩	jiē
㓩	xuān
㓪	lǎng
㓭	shé
㓮	diāo
㓯	lí
㓰	huà
㓱	shū
㓱	tóu
㓲	piān
㓳	dī
㓴	ruǎn
㓵	è
㓶	qiè
㓷	yì
㓸	dōu
㓸	zhuō
㓹	cuì
㓹	jì
㓹	ruì
㓺	jiān
㓺	qián
㓼	chì
㓽	chóng
㓾	chí
㓾	xī
㔀	lüè
㔁	dēng
㔂	lín
㔃	jué
㔃	xuē
㔄	sù
㔅	xiào
㔆	zàn
㔉	zhǔ
㔊	dǎn
㔊	zhǎn
㔋	jiān
㔋	lán
㔌	cǒu
㔌	zòu
㔍	chuā
㔍	zhá
㔎	xiè
㔏	luǒ
㔏	lì
㔑	chì
㔒	xí
㔓	jiǎn
㔕	jí
㔗	bèi
㔗	fèi
㔗	fú
㔘	chù
㔙	bēng
㔚	jié
㔜	bá
㔝	liáng
㔝	liǎng
㔞	kuài
㔠	hé
㔠	xiā
㔡	biē
㔢	jué
㔢	xuē
㔣	léi
㔤	xìn
㔥	bài
㔥	pí
㔦	yǎng
㔧	lǜ
㔨	bèi
㔩	è
㔪	lǔ
㔭	chè
㔮	nuó
㔯	suǎn
㔯	xuán
㔰	héng
㔱	yǔ
㔳	guǐ
㔴	yì
㔵	xuǎn
㔶	gòng
㔶	gǎn
㔷	lòu
㔸	tī
㔹	lè
㔺	shì
㔼	sǔn
㔽	yào
㔾	jié
㔾	xiān
㔿	zòu
㕁	què
㕂	qín
㕂	yín
㕃	xī
㕄	zhǐ
㕅	jiá
㕆	hù
㕇	lā
㕈	yǐ
㕉	kè
㕊	fū
㕋	qín
㕌	ài
㕎	kè
㕏	chú
㕐	xiè
㕐	xiě
㕑	chú
㕒	wēi
㕕	huàn
㕖	sù
㕗	yòu
㕙	jùn
㕚	zhǎo
㕛	xù
㕜	shǐ
㕞	shuā
㕟	kuài
㕟	kuì
㕠	shuāng
㕡	hé
㕢	gài
㕢	hài
㕣	yǎn
㕤	qiú
㕥	shēn
㕦	huà
㕧	xī
㕨	fàn
㕩	pàng
㕪	dǎn
㕫	fēng
㕫	fǎng
㕬	gōng
㕬	sòng
㕭	ào
㕭	āo
㕮	fǔ
㕯	nè
㕰	ma
㕰	xuè
㕱	yóu
㕲	huá
㕲	yíng
㕴	chén
㕵	guó
㕶	ň
㕶	ňg
㕷	huà
㕷	pā
㕸	lì
㕹	fá
㕺	xiāo
㕻	pǒu
㕽	sì
㖀	lè
㖁	lìn
㖂	yì
㖃	hòu
㖃	hǒu
㖅	xù
㖆	qú
㖇	ér
㖊	xún
㖏	niè
㖐	wěi
㖑	xiè
㖒	tí
㖓	hóng
㖔	tǔn
㖕	niè
㖕	xīn
㖖	niè
㖗	yín
㖘	zhēn
㖞	wāi
㖟	shòu
㖠	nuò
㖡	yè
㖢	qí
㖣	tòu
㖤	hán
㖥	jùn
㖦	dǒng
㖧	hūn
㖧	wěn
㖨	lù
㖩	jū
㖩	sǒu
㖪	guó
㖪	huò
㖪	xù
㖫	líng
㖭	tiǎn
㖮	lún
㖵	gé
㖶	yè
㖶	yān
㖶	yīn
㖷	shí
㖷	tí
㖸	niā
㖸	xué
㖹	fèn
㖹	pēn
㖺	chǔn
㖻	niú
㖻	ròu
㖼	duǒ
㖽	zé
㖾	è
㖿	xié
㖿	yé
㗀	yōu
㗁	è
㗂	shěng
㗃	hūn
㗃	wěn
㗄	kū
㗅	hú
㗆	gé
㗇	xiá
㗇	ya
㗈	màn
㗉	lüè
㗉	è
㗊	jí
㗊	léi
㗋	hóu
㗌	zhì
㗏	wāi
㗑	bai
㗒	ài
㗓	zhuī
㗔	qiān
㗕	gòu
㗕	gōu
㗖	dàn
㗗	bēi
㗘	bó
㗙	chū
㗙	nà
㗙	zhōu
㗚	lì
㗛	xiào
㗜	xiù
㗢	dòng
㗢	hòng
㗢	hóng
㗣	tì
㗤	cù
㗥	guō
㗥	kuò
㗦	láo
㗧	dié
㗧	zhì
㗨	xiē
㗨	ǎi
㗩	xī
㗫	qiè
㗬	zhā
㗭	xī
㗰	cóng
㗱	jí
㗲	huò
㗳	dā
㗳	tǎ
㗴	yán
㗵	xù
㗶	pō
㗷	sǎi
㗻	guō
㗼	yè
㗽	xiǎng
㗾	xuē
㗿	hé
㗿	xià
㗿	xiā
㘀	zuò
㘁	yì
㘂	cí
㘄	lēng
㘅	xián
㘆	tǎi
㘇	róng
㘈	nǐ
㘈	yì
㘉	zhì
㘊	xī
㘊	yì
㘋	xián
㘌	jù
㘍	jí
㘎	hǎn
㘐	pào
㘑	lì
㘓	lán
㘔	sǎi
㘕	hǎn
㘕	lán
㘖	yán
㘗	qū
㘙	yán
㘚	hǎn
㘛	kān
㘜	chǐ
㘝	niè
㘞	huò
㘠	bì
㘡	xiá
㘢	wěng
㘣	xuán
㘣	yuán
㘤	wān
㘥	yóu
㘦	qín
㘧	xù
㘨	niè
㘩	bì
㘪	hào
㘫	jǐng
㘬	wù
㘬	ào
㘭	ào
㘰	zhēn
㘱	tān
㘲	jú
㘴	zuò
㘵	bù
㘶	jié
㘷	ài
㘸	zuò
㘸	zàng
㘹	cí
㘺	fá
㘿	niè
㙀	jiù
㙀	liù
㙁	méi
㙁	mù
㙂	duì
㙂	wèng
㙃	bāng
㙄	bì
㙅	bǎo
㙇	chù
㙈	xià
㙉	tiǎn
㙊	cháng
㙊	zhàng
㙍	duō
㙎	wēi
㙏	fù
㙐	duǒ
㙑	yǔ
㙒	yě
㙓	kuí
㙔	hán
㙔	wěi
㙕	kuài
㙗	wēi
㙘	yāo
㙙	lǒng
㙚	xīng
㙛	bǔ
㙜	chí
㙝	xié
㙞	niè
㙟	lǎng
㙠	yì
㙠	yī
㙡	zōng
㙢	mán
㙣	zhàng
㙤	xià
㙥	gùn
㙦	xié
㙨	jì
㙩	liáo
㙪	yì
㙫	jí
㙬	yín
㙮	da
㙮	dā
㙯	yì
㙰	xiè
㙱	hào
㙲	yǒng
㙳	hǎn
㙳	kǎn
㙴	chàn
㙵	tái
㙶	táng
㙷	zhé
㙷	zhí
㙸	bào
㙹	méng
㙺	guì
㙺	kuí
㙻	chán
㙼	lěi
㙾	xì
㚀	xī
㚁	qiào
㚂	nàng
㚃	yūn
㚅	lóng
㚆	fù
㚇	zōng
㚉	gǔ
㚊	kāi
㚋	diāo
㚌	huà
㚍	kuì
㚍	kuǐ
㚏	gǎo
㚐	tào
㚒	shǎn
㚓	lǎi
㚔	niè
㚔	xìng
㚕	fú
㚖	gǎo
㚖	zé
㚗	qié
㚘	bàn
㚘	fú
㚘	hè
㚙	jiā
㚚	kuāng
㚚	kōng
㚛	xì
㚜	xù
㚜	yù
㚝	zhuī
㚞	shěn
㚟	chuò
㚠	xiāo
㚡	jǐ
㚢	nú
㚢	wǔ
㚣	xiáo
㚤	yì
㚥	yú
㚦	yí
㚧	yǎn
㚨	shěn
㚩	rǎn
㚪	hào
㚫	sà
㚬	jūn
㚭	yóu
㚯	xín
㚰	bǐ
㚰	pēi
㚱	qiū
㚲	chān
㚲	diàn
㚲	diǎn
㚴	bù
㚵	dōng
㚶	sì
㚶	yí
㚷	ěr
㚹	liǔ
㚹	mǎo
㚺	yùn
㚻	jī
㚽	qiǎo
㚾	xiōng
㚿	páo
㛀	chú
㛁	pēng
㛂	nuǒ
㛃	jié
㛄	yī
㛅	èr
㛆	duò
㛆	duǒ
㛊	duǒ
㛍	qiè
㛍	xiá
㛍	xiǎn
㛎	lǚ
㛏	qiú
㛐	sǒu
㛑	càn
㛒	dòu
㛓	xī
㛔	fēng
㛔	péng
㛕	yì
㛕	è
㛖	suō
㛗	qiē
㛗	suō
㛗	zuō
㛘	pò
㛙	qiè
㛙	xīn
㛚	tǒng
㛚	yǒng
㛛	xìn
㛜	yóu
㛝	bèi
㛞	lòng
㛣	yún
㛤	lí
㛥	tà
㛦	lǎn
㛧	mǎn
㛨	qiǎng
㛩	zhóu
㛪	yàn
㛪	yān
㛫	xī
㛬	lù
㛭	xī
㛮	sǎo
㛯	fàn
㛯	miǎn
㛯	zhuàn
㛱	wēi
㛱	wěi
㛲	fà
㛳	yì
㛴	nǎo
㛵	chēng
㛶	tàn
㛷	jī
㛸	shù
㛹	pián
㛺	ān
㛻	kuā
㛼	chā
㛼	shà
㛾	xián
㛿	zhì
㜂	fēng
㜃	liàn
㜄	xún
㜅	xù
㜆	mì
㜇	huì
㜇	yè
㜈	mù
㜉	yōng
㜊	zhǎn
㜋	yì
㜌	gòu
㜌	kòu
㜌	nǒu
㜍	táng
㜎	xì
㜎	xī
㜏	yún
㜐	shù
㜑	fú
㜒	yì
㜓	dá
㜕	lián
㜖	cáo
㜗	cān
㜗	sēn
㜘	chá
㜘	jù
㜘	qù
㜙	lù
㜚	sù
㜛	nèn
㜜	ào
㜝	yǎn
㜝	ǎn
㜞	cán
㜞	qiàn
㜠	cuī
㜡	cōng
㜣	rán
㜣	rǎn
㜤	niǎn
㜤	tiǎn
㜤	tán
㜥	mái
㜦	xín
㜧	yuè
㜨	nái
㜩	ào
㜪	shēn
㜫	mà
㜮	làn
㜮	lán
㜯	xī
㜰	yuè
㜱	zhì
㜲	wěng
㜳	huái
㜴	mèng
㜵	niǎo
㜶	wǎn
㜷	mí
㜷	xiǎn
㜸	niè
㜹	qú
㜺	zàn
㜻	liàn
㜼	zhí
㜽	zǐ
㜾	hái
㜿	xù
㝀	hào
㝁	qióng
㝁	xuān
㝂	zhè
㝂	zhì
㝃	miǎn
㝄	chún
㝅	gòu
㝇	chún
㝈	luán
㝉	zhù
㝊	shǒu
㝋	liǎo
㝌	jiù
㝍	xiě
㝎	dìng
㝏	jiè
㝐	róng
㝑	máng
㝓	kè
㝔	yǎo
㝕	níng
㝖	yí
㝗	láng
㝗	lǎng
㝘	yóng
㝙	yín
㝚	yán
㝛	sù
㝝	lín
㝞	yà
㝞	yā
㝟	máo
㝠	míng
㝡	zuì
㝢	yǔ
㝣	yì
㝤	gòu
㝥	mǐ
㝦	jùn
㝧	wěn
㝩	kāng
㝪	diàn
㝫	lóng
㝭	xǐng
㝮	cuì
㝯	qiáo
㝰	mián
㝱	mèng
㝲	qǐn
㝴	wán
㝵	dé
㝵	ài
㝶	ài
㝸	biàn
㝹	nóu
㝺	lián
㝻	jǐn
㝼	yū
㝽	chuí
㝾	zuǒ
㝿	bǒ
㞀	huī
㞁	yào
㞂	tuì
㞂	tuǐ
㞃	jì
㞄	ān
㞅	luò
㞆	jǐ
㞇	wěi
㞈	bō
㞉	zā
㞊	xù
㞋	jí
㞋	niǎn
㞌	yùn
㞎	bǎ
㞎	pā
㞏	jié
㞏	zhé
㞐	jū
㞑	wěi
㞒	xiè
㞒	xì
㞓	jī
㞓	qì
㞔	yí
㞕	xiè
㞖	cì
㞖	cí
㞗	qiú
㞘	dū
㞙	niào
㞚	qì
㞚	zhǎ
㞛	jǐ
㞜	tuī
㞞	sóng
㞟	diàn
㞟	dǐng
㞠	láo
㞡	zhǎn
㞤	cén
㞤	yín
㞥	cén
㞦	jǐ
㞧	huì
㞨	zǐ
㞩	lán
㞪	náo
㞫	jù
㞬	qìn
㞭	dài
㞯	jié
㞰	xǔ
㞱	cōng
㞲	yòng
㞳	dǒu
㞴	chí
㞴	mín
㞶	mǐn
㞷	huáng
㞸	suì
㞹	kě
㞺	zú
㞻	hào
㞼	chéng
㞽	xuè
㞾	ní
㞿	chì
㟀	lián
㟁	àn
㟂	mǔ
㟃	sī
㟄	xiáng
㟅	yáng
㟆	huá
㟇	cuò
㟇	cuó
㟈	qiú
㟉	láo
㟊	fú
㟋	duì
㟌	máng
㟍	láng
㟍	lǎng
㟎	tuǐ
㟎	tuǒ
㟏	hán
㟐	mǎng
㟑	bó
㟒	qūn
㟓	qí
㟔	hán
㟖	lòng
㟖	lóng
㟗	bīn
㟘	tiáo
㟙	zé
㟚	qí
㟛	zàn
㟜	mí
㟝	péi
㟞	zhàn
㟟	xiàng
㟠	gǎng
㟢	qí
㟤	lù
㟥	cēn
㟦	yùn
㟧	è
㟨	duān
㟩	mín
㟪	wēi
㟪	wěi
㟫	quán
㟬	sǒu
㟭	mín
㟮	tū
㟰	mǐng
㟱	yǎo
㟲	jué
㟳	lì
㟴	kuài
㟵	gǎng
㟶	yuán
㟷	da
㟹	láo
㟺	lóu
㟻	qiàn
㟻	zhǎn
㟼	áo
㟽	biāo
㟽	biǎo
㟾	yōng
㟿	máng
㟿	mǎng
㠀	dǎo
㠂	áo
㠄	xí
㠅	fù
㠅	fú
㠆	dān
㠇	jiù
㠈	rùn
㠉	tóng
㠊	qū
㠋	è
㠌	qī
㠍	jí
㠎	jié
㠎	jí
㠏	huá
㠐	jiào
㠑	zuì
㠒	biǎo
㠓	méng
㠔	bài
㠕	wěi
㠖	yǐ
㠗	ào
㠘	yǔ
㠙	háo
㠚	duì
㠛	wò
㠜	nì
㠝	cuán
㠟	lí
㠠	lú
㠡	niǎo
㠢	huái
㠣	lì
㠥	léi
㠥	lěi
㠥	lǜ
㠦	fēng
㠧	mǐ
㠨	yù
㠪	jù
㠭	zhǎn
㠮	gāng
㠮	pēng
㠯	yǐ
㠱	jì
㠱	qǐ
㠲	bǐ
㠴	rèn
㠵	huāng
㠶	fán
㠷	gé
㠸	kù
㠹	jiè
㠺	miáo
㠺	shā
㠼	sī
㠽	tóng
㠾	yuān
㠿	cǐ
㠿	zī
㡀	bì
㡁	kuǎ
㡂	lì
㡃	huāng
㡄	xún
㡅	nuǒ
㡇	jiē
㡇	zhé
㡈	miǎn
㡈	mén
㡈	wèn
㡉	xián
㡊	qià
㡋	yé
㡋	ān
㡌	mào
㡎	shān
㡏	shù
㡏	shū
㡏	tóu
㡏	xū
㡑	jiǎo
㡑	qiāo
㡒	zhūn
㡓	kūn
㡔	wù
㡕	yīng
㡖	chuáng
㡗	tí
㡘	lián
㡘	lín
㡙	bī
㡚	gōu
㡛	máng
㡜	xiè
㡜	xuě
㡝	fèng
㡞	lóu
㡞	lǚ
㡟	zāo
㡠	zhèng
㡡	chú
㡢	màn
㡣	lóng
㡥	yìn
㡦	pīn
㡧	zhèng
㡨	jiān
㡨	qiān
㡩	luán
㡪	nié
㡫	yì
㡭	jì
㡮	jí
㡯	duó
㡯	dù
㡯	zhái
㡰	yǔ
㡱	jiǔ
㡲	huán
㡳	zhǐ
㡴	lā
㡵	líng
㡶	zhǐ
㡷	běn
㡸	chá
㡸	zhà
㡸	zhǎ
㡹	jū
㡺	dàn
㡻	liào
㡼	yì
㡽	zhào
㡾	xiàn
㡿	chì
㢀	cì
㢁	chǐ
㢁	shǐ
㢂	duī
㢂	tuí
㢂	yǎn
㢃	láng
㢄	dòu
㢅	lòng
㢆	chán
㢈	duī
㢈	tuí
㢉	chá
㢊	yǐ
㢊	ǎi
㢋	chǐ
㢍	yǐng
㢎	zhé
㢏	tóu
㢏	yú
㢏	yǔ
㢑	tuí
㢒	chá
㢓	yǎo
㢔	zǒng
㢖	bān
㢖	pān
㢗	qiào
㢘	lián
㢙	qín
㢚	lǔ
㢛	qiān
㢛	yàn
㢜	kàng
㢜	kāng
㢝	sū
㢞	yì
㢟	chān
㢠	jiǒng
㢡	jiǎng
㢣	jìng
㢥	dòng
㢧	juàn
㢨	hàn
㢩	dì
㢬	hóng
㢮	chí
㢯	diāo
㢯	mín
㢰	bì
㢲	xùn
㢳	lú
㢵	shè
㢵	xié
㢶	bì
㢸	bì
㢺	xián
㢻	ruì
㢼	biè
㢽	ěr
㢾	juàn
㣀	zhèn
㣁	bèi
㣂	è
㣃	yǔ
㣄	qú
㣅	zàn
㣆	mí
㣇	yì
㣈	sì
㣌	shàn
㣍	tái
㣎	mù
㣏	jìng
㣐	biàn
㣑	róng
㣒	cèng
㣓	càn
㣔	dīng
㣙	dí
㣙	zhòu
㣚	dòng
㣚	tóng
㣚	tǒng
㣛	huì
㣛	tà
㣜	xíng
㣝	sōng
㣞	duó
㣟	xì
㣠	tóng
㣠	tāo
㣢	tí
㣣	shàn
㣤	jiàn
㣥	zhì
㣦	wēi
㣧	yìn
㣪	huǎn
㣫	dòng
㣫	zhǒng
㣬	qì
㣭	zōng
㣯	xiè
㣰	xiè
㣱	zé
㣲	wéi
㣵	tà
㣶	zhān
㣷	nìng
㣺	xīn
㣻	yì
㣼	rěn
㣽	nù
㣽	shù
㣾	chà
㣿	diǎo
㣿	zhuó
㤁	miǎn
㤂	jí
㤃	fáng
㤄	pèi
㤅	jì
㤅	xì
㤅	ài
㤆	fàn
㤇	ǎo
㤈	qìn
㤉	qiā
㤉	yà
㤊	xiào
㤋	fēn
㤌	gān
㤍	qiāo
㤍	qiǎo
㤎	gē
㤏	tóng
㤐	chān
㤑	yòu
㤒	gāo
㤓	bèn
㤔	fù
㤕	chù
㤕	pò
㤖	zhù
㤘	zhòu
㤚	háng
㤛	nín
㤜	jué
㤝	chōng
㤞	chà
㤞	duó
㤞	zé
㤟	kǒng
㤠	liè
㤡	liè
㤡	lì
㤢	yù
㤤	yú
㤥	hài
㤦	lì
㤧	hóu
㤨	gǒng
㤩	kè
㤪	yuàn
㤫	dé
㤬	huì
㤭	jiāo
㤮	guàng
㤯	jiǒng
㤰	zuò
㤱	dòu
㤱	fù
㤲	qiè
㤳	běi
㤴	chè
㤴	dié
㤴	shè
㤵	cí
㤶	màng
㤶	máng
㤷	hān
㤸	xì
㤹	jiù
㤹	qiú
㤺	huǎng
㤽	chóu
㤾	sàn
㤾	tàn
㤿	yān
㥀	dé
㥀	zhí
㥁	dé
㥂	tè
㥃	mèn
㥄	líng
㥅	shòu
㥆	tuì
㥇	cán
㥈	dié
㥉	chè
㥊	péng
㥊	pēng
㥋	yī
㥌	jú
㥍	jì
㥎	lái
㥏	tiǎn
㥐	yuàn
㥒	cāi
㥒	cǎi
㥓	qī
㥔	yù
㥕	lián
㥖	cōng
㥚	yú
㥚	yǔ
㥛	jí
㥛	kè
㥜	wèi
㥝	mǐ
㥞	suì
㥟	xié
㥠	xū
㥡	chì
㥢	jiū
㥢	qiú
㥣	huì
㥥	yú
㥦	qiè
㥧	shùn
㥨	shuì
㥨	wěi
㥩	duǒ
㥪	lóu
㥬	páng
㥭	tài
㥮	chǎo
㥮	zhòu
㥯	yǐn
㥰	sāo
㥱	fěi
㥲	chēn
㥲	shèn
㥳	yuán
㥴	tí
㥴	yí
㥵	hùn
㥶	qiān
㥶	sè
㥷	yè
㥸	mǐn
㥹	fěn
㥺	hé
㥼	yìn
㥼	yān
㥽	cè
㥽	zé
㥾	nì
㥿	ào
㦀	féng
㦁	lián
㦁	liǎn
㦂	cháng
㦃	chǎn
㦄	má
㦅	chài
㦅	diē
㦅	dì
㦆	hū
㦆	xiā
㦇	lù
㦈	ài
㦉	yì
㦊	huá
㦋	zhā
㦌	hū
㦌	xù
㦍	è
㦎	huò
㦏	sǔn
㦏	xuàn
㦐	nì
㦑	hān
㦑	xiàn
㦒	lí
㦓	rǎn
㦓	xiàn
㦔	yàn
㦕	lóng
㦖	mèn
㦗	jìn
㦗	jīn
㦘	jī
㦚	biǎn
㦛	yú
㦛	yǔ
㦜	huò
㦜	xuè
㦝	miǎo
㦞	chóu
㦟	mái
㦡	lè
㦢	jié
㦣	wèi
㦤	yì
㦥	xiǎn
㦥	xuān
㦦	xì
㦧	cǎn
㦨	lán
㦩	yǐn
㦪	xiè
㦫	zā
㦬	luǒ
㦭	líng
㦮	qián
㦯	huò
㦰	jiān
㦱	wǒ
㦴	gé
㦵	zhū
㦶	dié
㦶	yǒng
㦷	yǒng
㦸	jǐ
㦹	yáng
㦺	rù
㦻	xí
㦼	shuàng
㦽	yù
㦾	yí
㦿	hù
㦿	qiǎn
㧀	jí
㧁	hé
㧁	qù
㧂	tián
㧃	jiū
㧃	shōu
㧄	qiǎn
㧅	dāo
㧅	mù
㧆	jīn
㧇	mǎo
㧈	yǐn
㧉	gài
㧉	hài
㧉	yè
㧊	bá
㧊	pō
㧋	xuǎn
㧌	mào
㧍	bēng
㧍	fǎng
㧎	qiā
㧎	yà
㧎	yá
㧏	gāng
㧐	sǒng
㧑	huī
㧒	yù
㧓	guā
㧔	guài
㧕	liǔ
㧖	è
㧗	jǐ
㧗	zhǐ
㧗	zǐ
㧘	zì
㧙	bié
㧙	bì
㧚	wǎ
㧛	lǎn
㧜	liè
㧟	kuǎi
㧡	hài
㧡	wèi
㧢	yīn
㧣	zhū
㧤	chòng
㧥	xiǎn
㧦	hōng
㧦	xuàn
㧨	qiú
㧩	pèi
㧪	guǐ
㧪	wěi
㧫	ruán
㧫	ruí
㧫	ér
㧬	gǒng
㧭	qióng
㧮	hū
㧯	lǎo
㧰	lì
㧱	chèn
㧲	sǎn
㧳	bāi
㧳	zhuò
㧴	wǒ
㧴	é
㧵	póu
㧶	kēng
㧷	tùn
㧸	pēng
㧹	tè
㧺	tà
㧻	dū
㧻	zhuó
㧻	zú
㧼	biào
㧽	gù
㧾	hū
㨀	bǐng
㨁	zhì
㨁	zhí
㨂	dǒng
㨃	chéng
㨃	duǐ
㨄	tiáo
㨄	zhào
㨄	zhōu
㨅	nèi
㨅	ruì
㨆	lǐn
㨇	pó
㨈	jǐ
㨉	mín
㨉	wěn
㨊	duò
㨊	tuǒ
㨊	wěi
㨋	chě
㨌	gòu
㨍	bāng
㨎	rú
㨏	tān
㨐	bǔ
㨑	zōng
㨒	kuī
㨓	láo
㨔	hàn
㨕	yíng
㨖	zhì
㨗	jié
㨘	xǐng
㨙	xié
㨙	xì
㨚	sǔn
㨚	xún
㨛	shàn
㨛	shǎn
㨜	qián
㨝	xiē
㨞	sù
㨟	hāi
㨠	mì
㨡	hún
㨢	pī
㨤	huì
㨥	nà
㨦	sǒng
㨧	bèn
㨨	chōu
㨨	liù
㨩	jié
㨪	huàng
㨪	huǎng
㨫	lǎn
㨭	hù
㨮	dōu
㨯	huò
㨰	gǔn
㨱	yáo
㨲	cè
㨳	guǐ
㨳	jì
㨴	jiàn
㨵	jiǎn
㨶	dǎo
㨷	jìn
㨸	mà
㨹	huì
㨹	xuě
㨺	miǎn
㨺	mén
㨻	chàn
㨻	cán
㨻	shǎn
㨻	zàn
㨼	lüè
㨽	pì
㨾	yàng
㨿	jù
㩀	jù
㩁	què
㩃	qiān
㩄	shāi
㩆	jiù
㩆	zú
㩇	huá
㩇	huò
㩇	zuó
㩈	yǔn
㩉	dá
㩉	lā
㩉	xié
㩉	xī
㩊	xuān
㩋	sù
㩋	xiāo
㩌	fèi
㩍	cè
㩎	yè
㩐	dèn
㩒	qín
㩓	huǐ
㩔	tún
㩖	qiáng
㩗	xí
㩘	nǐ
㩙	sāi
㩚	méng
㩛	tuán
㩜	lǎn
㩝	háo
㩞	cì
㩟	zhài
㩠	piǎo
㩠	póu
㩠	āo
㩡	luǒ
㩢	miè
㩢	mì
㩤	fū
㩦	xié
㩦	xī
㩧	bó
㩨	huì
㩩	qǐng
㩪	xié
㩭	bó
㩮	qián
㩯	pó
㩰	jiǎo
㩱	jué
㩲	kǔn
㩳	sǒng
㩴	jú
㩴	qú
㩵	è
㩶	niè
㩷	qiān
㩸	dié
㩹	dié
㩻	guì
㩻	guǐ
㩻	qī
㩼	zhī
㩽	chì
㩽	qí
㩽	è
㩾	qí
㩾	zhuì
㩿	kū
㪀	yú
㪁	kān
㪁	qiàn
㪁	qián
㪁	qín
㪂	kū
㪃	hé
㪄	fú
㪅	gèng
㪅	gēng
㪆	dǐ
㪇	xiàn
㪈	guì
㪉	hé
㪊	qún
㪋	hàn
㪋	hě
㪌	tǒng
㪍	bèi
㪍	bó
㪎	nà
㪎	shǎn
㪏	bǐ
㪐	lù
㪑	yè
㪒	ní
㪓	chuái
㪔	sàn
㪕	chuò
㪕	diào
㪖	lù
㪗	tǒu
㪘	liǎn
㪙	kě
㪚	sàn
㪛	zhěn
㪜	chuǎi
㪜	duǒ
㪝	liàn
㪞	mào
㪠	jiān
㪠	qiàn
㪠	qiān
㪡	kài
㪡	kě
㪢	shǎo
㪣	qiāo
㪣	xiāo
㪤	bì
㪥	zhā
㪦	yìn
㪧	xī
㪨	shàn
㪩	sù
㪪	sà
㪫	ruì
㪬	chuō
㪬	zhuó
㪭	lú
㪮	líng
㪯	chá
㪱	huàn
㪴	jiá
㪵	bàn
㪶	hú
㪷	dǒu
㪹	lǒu
㪺	jū
㪻	juàn
㪼	kě
㪽	suǒ
㪾	gé
㪾	luò
㪿	zhé
㫀	dǐng
㫁	duàn
㫂	zhù
㫃	yǎn
㫄	páng
㫅	chá
㫊	yǐ
㫊	ě
㫍	yóu
㫍	yǎo
㫎	gǔn
㫎	huī
㫏	yǎo
㫐	yǎo
㫑	shí
㫑	zhǐ
㫒	gǒng
㫓	qǐ
㫔	gèn
㫗	hòu
㫘	mì
㫙	fú
㫚	hū
㫛	guàng
㫜	tǎn
㫝	dī
㫟	yán
㫢	qù
㫤	chǎng
㫥	mǐng
㫦	tāo
㫧	bào
㫨	ān
㫫	xiǎn
㫯	mào
㫰	làng
㫰	lǎng
㫱	nàn
